   W         E0+(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.510274  -0.457977
 1085.0   -0.590381  -0.120602
 1090.0   -0.695051   0.147951
 1095.0   -0.802295   0.359694
 1100.0   -0.903302   0.529228
 1105.0   -0.994514   0.667794
 1110.0   -1.074899   0.783517
 1115.0   -1.144444   0.882234
 1120.0   -1.203655   0.968157
 1125.0   -1.253094   1.044389
 1130.0   -1.293509   1.113220
 1135.0   -1.325615   1.176361
 1140.0   -1.350068   1.235115
 1145.0   -1.367474   1.290476
 1150.0   -1.378394   1.343214
 1155.0   -1.383330   1.393926
 1160.0   -1.382742   1.443084
 1165.0   -1.377081   1.491055
 1170.0   -1.366647   1.538150
 1175.0   -1.351827   1.584602
 1180.0   -1.332937   1.630611
 1185.0   -1.310262   1.676341
 1190.0   -1.284073   1.721926
 1195.0   -1.254617   1.767484
 1200.0   -1.222128   1.813112
 1205.0   -1.186822   1.858895
 1210.0   -1.148895   1.904915
 1215.0   -1.108607   1.951257
 1220.0   -1.066138   1.997991
 1225.0   -1.021664   2.045170
 1230.0   -0.975347   2.092843
 1235.0   -0.927349   2.141057
 1240.0   -0.877816   2.189854
 1245.0   -0.826903   2.239275
 1250.0   -0.774765   2.289361
 1255.0   -0.721483   2.340150
 1260.0   -0.667217   2.391676
 1265.0   -0.612082   2.443983
 1270.0   -0.556238   2.497080
 1275.0   -0.499734   2.551047
 1280.0   -0.442748   2.605875
 1285.0   -0.385341   2.661632
 1290.0   -0.327657   2.718330
 1295.0   -0.269750   2.776024
 1300.0   -0.211758   2.834750
 1305.0   -0.153785   2.894527
 1310.0   -0.095887   2.955425
 1315.0   -0.038171   3.017476
 1320.0    0.019281   3.080728
 1325.0    0.076358   3.145215
 1330.0    0.135567   3.210283
 1335.0    0.189169   3.278181
 1340.0    0.244726   3.346768
 1345.0    0.299618   3.416847
 1350.0    0.353708   3.488452
 1355.0    0.407101   3.561782
 1360.0    0.459564   3.636821
 1365.0    0.511077   3.713700
 1370.0    0.561575   3.792534
 1375.0    0.610991   3.873447
 1380.0    0.659262   3.956579
 1385.0    0.706338   4.042100
 1390.0    0.752095   4.130153
 1395.0    0.796510   4.220986
 1400.0    0.839554   4.314818
 1405.0    0.881134   4.411918
 1410.0    0.921185   4.512609
 1415.0    0.959644   4.617267
 1420.0    0.996446   4.726334
 1425.0    1.031525   4.840348
 1430.0    1.064818   4.959962
 1435.0    1.096306   5.086009
 1440.0    1.125774   5.219406
 1445.0    1.153334   5.361562
 1450.0    1.178879   5.514152
 1455.0    1.202396   5.679509
 1460.0    1.223891   5.860934
 1465.0    1.243469   6.063364
 1470.0    1.261443   6.294780
 1475.0    1.278678   6.569788
