   W         M3+(pi0_p)
 (MeV)      Re         Im
 1080.0    0.000036  -0.000004
 1085.0    0.000084  -0.000008
 1090.0    0.000145  -0.000015
 1095.0    0.000217  -0.000022
 1100.0    0.000300  -0.000031
 1105.0    0.000394  -0.000041
 1110.0    0.000497  -0.000052
 1115.0    0.000611  -0.000065
 1120.0    0.000734  -0.000079
 1125.0    0.000868  -0.000094
 1130.0    0.001012  -0.000111
 1135.0    0.001167  -0.000129
 1140.0    0.001333  -0.000149
 1145.0    0.001511  -0.000170
 1150.0    0.001701  -0.000192
 1155.0    0.001904  -0.000216
 1160.0    0.002120  -0.000242
 1165.0    0.002350  -0.000269
 1170.0    0.002594  -0.000298
 1175.0    0.002854  -0.000329
 1180.0    0.003131  -0.000361
 1185.0    0.003424  -0.000395
 1190.0    0.003736  -0.000431
 1195.0    0.004067  -0.000468
 1200.0    0.004418  -0.000507
 1205.0    0.004791  -0.000548
 1210.0    0.005185  -0.000590
 1215.0    0.005603  -0.000633
 1220.0    0.006046  -0.000679
 1225.0    0.006515  -0.000725
 1230.0    0.007011  -0.000773
 1235.0    0.007536  -0.000823
 1240.0    0.008090  -0.000873
 1245.0    0.008676  -0.000925
 1250.0    0.009294  -0.000978
 1255.0    0.009947  -0.001032
 1260.0    0.010635  -0.001086
 1265.0    0.011358  -0.001143
 1270.0    0.012127  -0.001196
 1275.0    0.012928  -0.001253
 1280.0    0.013776  -0.001309
 1285.0    0.014665  -0.001366
 1290.0    0.015600  -0.001423
 1295.0    0.016581  -0.001478
 1300.0    0.017611  -0.001533
 1305.0    0.018690  -0.001589
 1310.0    0.019821  -0.001642
 1315.0    0.021006  -0.001694
 1320.0    0.022246  -0.001744
 1325.0    0.023540  -0.001794
 1330.0    0.024895  -0.001840
 1335.0    0.026309  -0.001883
 1340.0    0.027786  -0.001923
 1345.0    0.029326  -0.001960
 1350.0    0.030917  -0.001997
 1355.0    0.032601  -0.002023
 1360.0    0.034342  -0.002047
 1365.0    0.036153  -0.002066
 1370.0    0.038036  -0.002079
 1375.0    0.039993  -0.002086
 1380.0    0.042026  -0.002085
 1385.0    0.044140  -0.002078
 1390.0    0.046320  -0.002061
 1395.0    0.048590  -0.002036
 1400.0    0.050941  -0.002002
 1405.0    0.053376  -0.001957
 1410.0    0.055896  -0.001900
 1415.0    0.058504  -0.001832
 1420.0    0.061201  -0.001750
 1425.0    0.063989  -0.001655
 1430.0    0.066870  -0.001544
 1435.0    0.069854  -0.001422
 1440.0    0.072913  -0.001273
 1445.0    0.076081  -0.001110
 1450.0    0.079349  -0.000928
 1455.0    0.082718  -0.000725
 1460.0    0.086189  -0.000499
 1465.0    0.089766  -0.000250
 1470.0    0.093449   0.000026
 1475.0    0.097241   0.000329
 1480.0    0.101143   0.000660
 1485.0    0.105158   0.001023
 1490.0    0.109287   0.001419
 1495.0    0.113532   0.001850
 1500.0    0.117895   0.002318
 1505.0    0.122379   0.002830
 1510.0    0.126986   0.003379
 1515.0    0.131717   0.003975
 1520.0    0.136575   0.004619
 1525.0    0.141563   0.005315
 1530.0    0.146682   0.006065
 1535.0    0.151935   0.006874
 1540.0    0.157325   0.007744
 1545.0    0.162854   0.008681
 1550.0    0.168524   0.009688
