   W         E1+(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.028092  -0.029120
 1085.0   -0.041938  -0.040398
 1090.0   -0.055925  -0.051239
 1095.0   -0.070394  -0.062562
 1100.0   -0.085406  -0.074891
 1105.0   -0.100915  -0.088620
 1110.0   -0.116813  -0.104103
 1115.0   -0.132937  -0.121681
 1120.0   -0.149068  -0.141700
 1125.0   -0.164925  -0.164520
 1130.0   -0.180141  -0.190511
 1135.0   -0.194255  -0.220058
 1140.0   -0.206674  -0.253542
 1145.0   -0.216651  -0.291325
 1150.0   -0.223248  -0.333713
 1155.0   -0.225299  -0.380904
 1160.0   -0.221380  -0.432902
 1165.0   -0.209795  -0.489405
 1170.0   -0.188603  -0.549646
 1175.0   -0.155711  -0.612202
 1180.0   -0.109069  -0.674804
 1185.0   -0.047021  -0.734156
 1190.0    0.031197  -0.785947
 1195.0    0.124864  -0.825092
 1200.0    0.231254  -0.846360
 1205.0    0.345438  -0.845354
 1210.0    0.460688  -0.819619
 1215.0    0.569487  -0.769422
 1220.0    0.664939  -0.697979
 1225.0    0.742076  -0.610745
 1230.0    0.798499  -0.514209
 1235.0    0.834305  -0.414631
 1240.0    0.851456  -0.317159
 1245.0    0.852964  -0.225445
 1250.0    0.842170  -0.141687
 1255.0    0.822247  -0.066891
 1260.0    0.795946  -0.001221
 1265.0    0.765494   0.055704
 1270.0    0.732640   0.104569
 1275.0    0.698650   0.146162
 1280.0    0.664491   0.181334
 1285.0    0.630810   0.210865
 1290.0    0.598074   0.235493
 1295.0    0.566577   0.255856
 1300.0    0.536489   0.272521
 1305.0    0.507956   0.285986
 1310.0    0.481030   0.296666
 1315.0    0.455714   0.304926
 1320.0    0.432028   0.311077
 1325.0    0.409913   0.315383
 1330.0    0.389323   0.318071
 1335.0    0.370229   0.319342
 1340.0    0.352583   0.319371
 1345.0    0.336338   0.318309
 1350.0    0.321446   0.316293
 1355.0    0.307859   0.313445
 1360.0    0.295534   0.309875
 1365.0    0.284429   0.305686
 1370.0    0.274500   0.300971
 1375.0    0.265711   0.295818
 1380.0    0.258024   0.290311
 1385.0    0.251404   0.284527
 1390.0    0.245810   0.278536
 1395.0    0.241213   0.272413
 1400.0    0.237576   0.266223
 1405.0    0.234865   0.260030
 1410.0    0.233043   0.253895
 1415.0    0.232074   0.247876
 1420.0    0.231920   0.242029
 1425.0    0.232541   0.236406
 1430.0    0.233898   0.231058
 1435.0    0.235957   0.226033
 1440.0    0.238644   0.221362
 1445.0    0.241924   0.217099
 1450.0    0.245779   0.213279
 1455.0    0.250148   0.209934
 1460.0    0.254972   0.207084
 1465.0    0.260128   0.204760
 1470.0    0.265599   0.202977
 1475.0    0.271458   0.201744
 1480.0    0.277692   0.201069
 1485.0    0.284070   0.200968
 1490.0    0.290583   0.201522
 1495.0    0.297153   0.202672
 1500.0    0.303735   0.204390
 1505.0    0.310284   0.206649
 1510.0    0.316794   0.209440
 1515.0    0.323217   0.212731
 1520.0    0.329534   0.216506
 1525.0    0.335726   0.220749
 1530.0    0.341778   0.225445
 1535.0    0.347674   0.230581
 1540.0    0.353406   0.236148
 1545.0    0.358962   0.242144
 1550.0    0.364308   0.248617
 1555.0    0.369632   0.255182
 1560.0    0.374691   0.262280
 1565.0    0.379387   0.270158
 1570.0    0.383746   0.278716
 1575.0    0.387945   0.287451
 1580.0    0.391905   0.296707
 1585.0    0.395571   0.306512
 1590.0    0.398830   0.316895
 1595.0    0.401664   0.327883
 1600.0    0.404041   0.339497
 1605.0    0.405906   0.351754
 1610.0    0.407244   0.364762
 1615.0    0.407914   0.378568
 1620.0    0.407704   0.393166
 1625.0    0.406517   0.408481
 1630.0    0.404265   0.424461
 1635.0    0.400861   0.441046
 1640.0    0.396222   0.458160
 1645.0    0.390272   0.475713
 1650.0    0.382968   0.493531
 1655.0    0.374194   0.511657
 1660.0    0.363717   0.529807
 1665.0    0.352154   0.548106
 1670.0    0.338819   0.566044
 1675.0    0.323927   0.583711
 1680.0    0.307424   0.600959
 1685.0    0.289007   0.617565
 1690.0    0.268834   0.632789
 1695.0    0.247438   0.646420
 1700.0    0.225126   0.658428
 1705.0    0.202149   0.668795
 1710.0    0.178739   0.677497
 1715.0    0.155094   0.684575
 1720.0    0.131422   0.690050
 1725.0    0.107923   0.693969
 1730.0    0.084723   0.696402
 1735.0    0.061956   0.697427
 1740.0    0.039726   0.697123
 1745.0    0.018114   0.695563
 1750.0   -0.002816   0.692827
 1755.0   -0.023027   0.688981
 1760.0   -0.042467   0.684099
 1765.0   -0.061099   0.678237
 1770.0   -0.078958   0.671445
 1775.0   -0.096001   0.663769
 1780.0   -0.112222   0.655250
 1785.0   -0.127610   0.645926
 1790.0   -0.142154   0.635831
 1795.0   -0.155845   0.625001
 1800.0   -0.168663   0.613472
 1805.0   -0.180645   0.601168
 1810.0   -0.191865   0.587590
 1815.0   -0.201677   0.575226
 1820.0   -0.212185   0.559314
 1825.0   -0.219030   0.546862
 1830.0   -0.226216   0.532116
 1835.0   -0.232388   0.517040
 1840.0   -0.237616   0.501735
 1845.0   -0.241804   0.486209
 1850.0   -0.244995   0.470650
 1855.0   -0.247207   0.455039
 1860.0   -0.248475   0.439477
 1865.0   -0.248803   0.424055
 1870.0   -0.248212   0.408868
 1875.0   -0.243605   0.396287
 1880.0   -0.244582   0.379332
 1885.0   -0.241626   0.365122
 1890.0   -0.237985   0.351348
 1895.0   -0.233723   0.338052
 1900.0   -0.228900   0.325262
 1905.0   -0.223582   0.313005
 1910.0   -0.217832   0.301296
 1915.0   -0.211708   0.290147
 1920.0   -0.205270   0.279560
 1925.0   -0.198574   0.269534
 1930.0   -0.191670   0.260062
 1935.0   -0.184606   0.251132
 1940.0   -0.177425   0.242731
 1945.0   -0.170168   0.234843
 1950.0   -0.162872   0.227448
 1955.0   -0.155564   0.220527
 1960.0   -0.148273   0.214059
 1965.0   -0.141024   0.208023
 1970.0   -0.133837   0.202398
 1975.0   -0.126729   0.197164
 1980.0   -0.120240   0.191848
 1985.0   -0.112818   0.187787
 1990.0   -0.106036   0.183607
 1995.0   -0.099383   0.179742
 2000.0   -0.091847   0.175168
 2005.0   -0.086430   0.173178
