   W         E3+(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.000000  -0.000000
 1085.0   -0.000001  -0.000001
 1090.0   -0.000001  -0.000002
 1095.0   -0.000002  -0.000003
 1100.0   -0.000002  -0.000005
 1105.0   -0.000002  -0.000007
 1110.0   -0.000003  -0.000009
 1115.0   -0.000003  -0.000011
 1120.0   -0.000003  -0.000013
 1125.0   -0.000003  -0.000016
 1130.0   -0.000003  -0.000019
 1135.0   -0.000003  -0.000023
 1140.0   -0.000002  -0.000026
 1145.0   -0.000001  -0.000030
 1150.0    0.000001  -0.000034
 1155.0    0.000003  -0.000039
 1160.0    0.000005  -0.000043
 1165.0    0.000008  -0.000048
 1170.0    0.000012  -0.000052
 1175.0    0.000016  -0.000057
 1180.0    0.000021  -0.000062
 1185.0    0.000027  -0.000067
 1190.0    0.000034  -0.000072
 1195.0    0.000041  -0.000076
 1200.0    0.000050  -0.000081
 1205.0    0.000059  -0.000085
 1210.0    0.000070  -0.000089
 1215.0    0.000082  -0.000093
 1220.0    0.000095  -0.000097
 1225.0    0.000109  -0.000100
 1230.0    0.000125  -0.000102
 1235.0    0.000142  -0.000104
 1240.0    0.000160  -0.000106
 1245.0    0.000180  -0.000107
 1250.0    0.000201  -0.000107
 1255.0    0.000224  -0.000106
 1260.0    0.000248  -0.000105
 1265.0    0.000272  -0.000104
 1270.0    0.000303  -0.000097
 1275.0    0.000330  -0.000094
 1280.0    0.000361  -0.000088
 1285.0    0.000394  -0.000082
 1290.0    0.000427  -0.000074
 1295.0    0.000463  -0.000065
 1300.0    0.000501  -0.000055
 1305.0    0.000538  -0.000044
 1310.0    0.000579  -0.000031
 1315.0    0.000621  -0.000017
 1320.0    0.000665  -0.000001
 1325.0    0.000708   0.000015
 1330.0    0.000755   0.000033
 1335.0    0.000803   0.000053
 1340.0    0.000853   0.000074
 1345.0    0.000903   0.000096
 1350.0    0.000952   0.000118
 1355.0    0.001008   0.000145
 1360.0    0.001063   0.000171
 1365.0    0.001119   0.000199
 1370.0    0.001176   0.000227
 1375.0    0.001233   0.000257
 1380.0    0.001292   0.000288
 1385.0    0.001352   0.000320
 1390.0    0.001413   0.000353
 1395.0    0.001474   0.000387
 1400.0    0.001536   0.000421
 1405.0    0.001598   0.000456
 1410.0    0.001662   0.000492
 1415.0    0.001725   0.000527
 1420.0    0.001789   0.000564
 1425.0    0.001853   0.000600
 1430.0    0.001918   0.000636
 1435.0    0.001979   0.000669
 1440.0    0.002049   0.000707
 1445.0    0.002114   0.000742
 1450.0    0.002179   0.000776
 1455.0    0.002244   0.000809
 1460.0    0.002309   0.000841
 1465.0    0.002374   0.000872
 1470.0    0.002439   0.000901
 1475.0    0.002505   0.000928
 1480.0    0.002570   0.000954
 1485.0    0.002634   0.000977
 1490.0    0.002699   0.000997
 1495.0    0.002764   0.001015
 1500.0    0.002829   0.001030
 1505.0    0.002896   0.001044
 1510.0    0.002959   0.001051
 1515.0    0.003024   0.001056
 1520.0    0.003090   0.001056
 1525.0    0.003155   0.001053
 1530.0    0.003221   0.001046
 1535.0    0.003288   0.001034
 1540.0    0.003356   0.001018
 1545.0    0.003424   0.000996
 1550.0    0.003493   0.000969
 1555.0    0.003564   0.000937
 1560.0    0.003635   0.000900
 1565.0    0.003709   0.000857
 1570.0    0.003784   0.000808
 1575.0    0.003861   0.000753
 1580.0    0.003941   0.000693
 1585.0    0.004023   0.000626
 1590.0    0.004108   0.000553
 1595.0    0.004196   0.000474
 1600.0    0.004288   0.000388
 1605.0    0.004384   0.000297
 1610.0    0.004484   0.000200
 1615.0    0.004588   0.000096
 1620.0    0.004697  -0.000013
 1625.0    0.004811  -0.000128
 1630.0    0.004931  -0.000248
 1635.0    0.005057  -0.000373
 1640.0    0.005190  -0.000503
 1645.0    0.005329  -0.000637
 1650.0    0.005476  -0.000774
 1655.0    0.005630  -0.000916
 1660.0    0.005792  -0.001059
 1665.0    0.005963  -0.001205
 1670.0    0.006142  -0.001353
 1675.0    0.006330  -0.001501
 1680.0    0.006527  -0.001649
 1685.0    0.006733  -0.001797
 1690.0    0.006950  -0.001943
 1695.0    0.007175  -0.002088
 1700.0    0.007411  -0.002231
 1705.0    0.007656  -0.002371
 1710.0    0.007911  -0.002508
 1715.0    0.008176  -0.002642
 1720.0    0.008450  -0.002773
 1725.0    0.008734  -0.002900
 1730.0    0.009027  -0.003023
 1735.0    0.009330  -0.003143
 1740.0    0.009642  -0.003259
 1745.0    0.009964  -0.003371
 1750.0    0.010295  -0.003480
 1755.0    0.010635  -0.003584
 1760.0    0.010983  -0.003683
 1765.0    0.011341  -0.003778
 1770.0    0.011707  -0.003867
 1775.0    0.012081  -0.003951
 1780.0    0.012463  -0.004030
 1785.0    0.012852  -0.004102
 1790.0    0.013248  -0.004167
 1795.0    0.013651  -0.004225
 1800.0    0.014060  -0.004276
 1805.0    0.014473  -0.004319
 1810.0    0.014892  -0.004354
 1815.0    0.015314  -0.004381
 1820.0    0.015738  -0.004400
 1825.0    0.016165  -0.004411
 1830.0    0.016593  -0.004414
 1835.0    0.017021  -0.004410
 1840.0    0.017449  -0.004398
 1845.0    0.017876  -0.004380
 1850.0    0.018301  -0.004356
 1855.0    0.018724  -0.004326
 1860.0    0.019144  -0.004292
 1865.0    0.019563  -0.004255
 1870.0    0.019980  -0.004217
 1875.0    0.020395  -0.004176
 1880.0    0.020808  -0.004134
 1885.0    0.021222  -0.004092
 1890.0    0.021636  -0.004050
 1895.0    0.022052  -0.004008
 1900.0    0.022471  -0.003965
 1905.0    0.022894  -0.003922
 1910.0    0.023322  -0.003878
 1915.0    0.023755  -0.003831
 1920.0    0.024196  -0.003781
 1925.0    0.024643  -0.003725
 1930.0    0.025098  -0.003663
 1935.0    0.025560  -0.003593
 1940.0    0.026029  -0.003512
 1945.0    0.026504  -0.003420
 1950.0    0.026985  -0.003314
 1955.0    0.027469  -0.003193
 1960.0    0.027956  -0.003056
 1965.0    0.028444  -0.002901
 1970.0    0.028930  -0.002727
 1975.0    0.029413  -0.002534
 1980.0    0.029889  -0.002320
 1985.0    0.030357  -0.002087
 1990.0    0.030815  -0.001834
 1995.0    0.031259  -0.001561
 2000.0    0.031685  -0.001270
 2005.0    0.032094  -0.000961
