   W         M4-(pi0_p)
 (MeV)      Re         Im
 1080.0    0.000000  -0.000000
 1085.0    0.000000  -0.000000
 1090.0    0.000001  -0.000000
 1095.0    0.000002  -0.000000
 1100.0    0.000003   0.000000
 1105.0    0.000004   0.000000
 1110.0    0.000006   0.000000
 1115.0    0.000008   0.000000
 1120.0    0.000011   0.000001
 1125.0    0.000014   0.000001
 1130.0    0.000017   0.000002
 1135.0    0.000021   0.000003
 1140.0    0.000025   0.000004
 1145.0    0.000030   0.000005
 1150.0    0.000036   0.000006
 1155.0    0.000042   0.000008
 1160.0    0.000049   0.000011
 1165.0    0.000057   0.000013
 1170.0    0.000065   0.000017
 1175.0    0.000074   0.000020
 1180.0    0.000084   0.000025
 1185.0    0.000095   0.000029
 1190.0    0.000107   0.000035
 1195.0    0.000119   0.000041
 1200.0    0.000133   0.000048
 1205.0    0.000147   0.000056
 1210.0    0.000162   0.000065
 1215.0    0.000179   0.000075
 1220.0    0.000196   0.000085
 1225.0    0.000214   0.000097
 1230.0    0.000234   0.000110
 1235.0    0.000254   0.000124
 1240.0    0.000275   0.000139
 1245.0    0.000298   0.000155
 1250.0    0.000321   0.000172
 1255.0    0.000346   0.000191
 1260.0    0.000372   0.000211
 1265.0    0.000397   0.000231
 1270.0    0.000428   0.000256
 1275.0    0.000457   0.000279
 1280.0    0.000487   0.000304
 1285.0    0.000519   0.000331
 1290.0    0.000550   0.000358
 1295.0    0.000584   0.000387
 1300.0    0.000620   0.000418
 1305.0    0.000655   0.000448
 1310.0    0.000693   0.000480
 1315.0    0.000732   0.000514
 1320.0    0.000772   0.000549
 1325.0    0.000814   0.000583
 1330.0    0.000856   0.000620
 1335.0    0.000900   0.000657
 1340.0    0.000946   0.000694
 1345.0    0.000992   0.000732
 1350.0    0.001050   0.000769
 1355.0    0.001093   0.000809
 1360.0    0.001144   0.000848
 1365.0    0.001197   0.000887
 1370.0    0.001253   0.000925
 1375.0    0.001310   0.000963
 1380.0    0.001369   0.001000
 1385.0    0.001427   0.001036
 1390.0    0.001496   0.001073
 1395.0    0.001561   0.001108
 1400.0    0.001630   0.001141
 1405.0    0.001701   0.001172
 1410.0    0.001775   0.001202
 1415.0    0.001852   0.001229
 1420.0    0.001933   0.001255
 1425.0    0.002017   0.001277
 1430.0    0.002104   0.001297
 1435.0    0.002192   0.001309
 1440.0    0.002292   0.001328
 1445.0    0.002392   0.001338
 1450.0    0.002497   0.001344
 1455.0    0.002607   0.001347
 1460.0    0.002722   0.001344
 1465.0    0.002843   0.001338
 1470.0    0.002970   0.001326
 1475.0    0.003104   0.001310
 1480.0    0.003244   0.001288
 1485.0    0.003392   0.001261
 1490.0    0.003547   0.001228
 1495.0    0.003711   0.001189
 1500.0    0.003883   0.001143
 1505.0    0.004060   0.001095
 1510.0    0.004253   0.001035
 1515.0    0.004454   0.000971
 1520.0    0.004665   0.000900
 1525.0    0.004887   0.000822
 1530.0    0.005121   0.000737
 1535.0    0.005367   0.000645
 1540.0    0.005625   0.000546
 1545.0    0.005897   0.000440
 1550.0    0.006183   0.000327
 1555.0    0.006484   0.000206
 1560.0    0.006800   0.000079
 1565.0    0.007131  -0.000055
 1570.0    0.007479  -0.000196
 1575.0    0.007845  -0.000343
 1580.0    0.008228  -0.000496
 1585.0    0.008629  -0.000656
 1590.0    0.009050  -0.000821
 1595.0    0.009490  -0.000991
 1600.0    0.009952  -0.001167
 1605.0    0.010430  -0.001346
 1610.0    0.010935  -0.001530
 1615.0    0.011461  -0.001716
 1620.0    0.012009  -0.001905
 1625.0    0.012582  -0.002096
 1630.0    0.013178  -0.002287
 1635.0    0.013799  -0.002478
 1640.0    0.014446  -0.002667
 1645.0    0.015118  -0.002855
 1650.0    0.015816  -0.003038
 1655.0    0.016540  -0.003216
 1660.0    0.017292  -0.003388
 1665.0    0.018070  -0.003552
 1670.0    0.018876  -0.003706
 1675.0    0.019709  -0.003849
 1680.0    0.020570  -0.003979
 1685.0    0.021459  -0.004094
 1690.0    0.022375  -0.004193
 1695.0    0.023318  -0.004275
 1700.0    0.024290  -0.004337
 1705.0    0.025288  -0.004379
 1710.0    0.026313  -0.004399
 1715.0    0.027366  -0.004395
 1720.0    0.028445  -0.004368
 1725.0    0.029550  -0.004316
 1730.0    0.030683  -0.004237
 1735.0    0.031841  -0.004132
 1740.0    0.033025  -0.003999
 1745.0    0.034236  -0.003837
 1750.0    0.035472  -0.003646
 1755.0    0.036729  -0.003425
 1760.0    0.038016  -0.003171
 1765.0    0.039326  -0.002886
 1770.0    0.040660  -0.002565
 1775.0    0.042017  -0.002210
 1780.0    0.043397  -0.001819
 1785.0    0.044798  -0.001390
 1790.0    0.046222  -0.000921
 1795.0    0.047665  -0.000412
 1800.0    0.049128   0.000138
 1805.0    0.050609   0.000733
 1810.0    0.052108   0.001373
 1815.0    0.053624   0.002058
 1820.0    0.055153   0.002793
 1825.0    0.056697   0.003577
 1830.0    0.058252   0.004413
 1835.0    0.059817   0.005302
 1840.0    0.061390   0.006246
 1845.0    0.062970   0.007247
 1850.0    0.064555   0.008306
 1855.0    0.066142   0.009425
 1860.0    0.067728   0.010607
 1865.0    0.069311   0.011851
 1870.0    0.070892   0.013158
 1875.0    0.072463   0.014533
 1880.0    0.074024   0.015976
 1885.0    0.075570   0.017488
 1890.0    0.077099   0.019070
 1895.0    0.078608   0.020725
 1900.0    0.080093   0.022453
 1905.0    0.081549   0.024255
 1910.0    0.082973   0.026132
 1915.0    0.084360   0.028086
 1920.0    0.085707   0.030116
 1925.0    0.087008   0.032224
 1930.0    0.088259   0.034409
 1935.0    0.089454   0.036671
 1940.0    0.090588   0.039011
 1945.0    0.091656   0.041428
 1950.0    0.092651   0.043921
 1955.0    0.093569   0.046490
 1960.0    0.094403   0.049131
 1965.0    0.095146   0.051845
 1970.0    0.095793   0.054628
 1975.0    0.096336   0.057477
 1980.0    0.096770   0.060390
 1985.0    0.097087   0.063362
 1990.0    0.097282   0.066389
 1995.0    0.097346   0.069467
 2000.0    0.097273   0.072585
 2005.0    0.097082   0.075790
