   W         M2+(pi0_p)
 1605.0    0.033550   0.217483
 1610.0    0.035585   0.234485
 1615.0    0.036072   0.253134
 1620.0    0.034568   0.273317
 1625.0    0.030609   0.294808
 1630.0    0.023738   0.317240
 1635.0    0.013554   0.340095
 1640.0   -0.000236   0.362711
 1645.0   -0.017758   0.384303
 1650.0   -0.038959   0.404018
 1655.0   -0.063390   0.421035
 1660.0   -0.090569   0.434609
 1665.0   -0.119709   0.444189
 1670.0   -0.149910   0.449472
 1675.0   -0.180255   0.450415
 1680.0   -0.209894   0.447228
 1685.0   -0.238112   0.440313
 1690.0   -0.264374   0.430208
 1695.0   -0.288332   0.417506
 1700.0   -0.309816   0.402801
 1705.0   -0.328798   0.386643
 1710.0   -0.345361   0.369507
 1715.0   -0.359643   0.351785
 1720.0   -0.371848   0.333789
 1725.0   -0.382197   0.315758
 1730.0   -0.390881   0.297861
 1735.0   -0.398092   0.280218
 1740.0   -0.404004   0.262907
 1745.0   -0.408770   0.245980
 1750.0   -0.412523   0.229470
 1755.0   -0.415355   0.213388
 1760.0   -0.417391   0.197747
 1765.0   -0.418702   0.182540
 1770.0   -0.419335   0.167775
 1775.0   -0.419362   0.153443
 1780.0   -0.418829   0.139540
 1785.0   -0.417780   0.126061
 1790.0   -0.416252   0.113004
 1795.0   -0.414279   0.100363
 1800.0   -0.411892   0.088137
 1805.0   -0.409115   0.076327
 1810.0   -0.405985   0.064919
 1815.0   -0.402524   0.053914
 1820.0   -0.398748   0.043318
 1825.0   -0.394687   0.033123
 1830.0   -0.390360   0.023327
 1835.0   -0.385791   0.013926
 1840.0   -0.380998   0.004913
 1845.0   -0.376005  -0.003705
 1850.0   -0.370829  -0.011940
 1855.0   -0.365488  -0.019797
 1860.0   -0.360000  -0.027275
 1865.0   -0.354385  -0.034388
 1870.0   -0.348658  -0.041149
 1875.0   -0.342836  -0.047545
 1880.0   -0.336935  -0.053594
 1885.0   -0.330968  -0.059301
 1890.0   -0.324952  -0.064676
 1895.0   -0.318898  -0.069725
 1900.0   -0.312820  -0.074458
 1905.0   -0.306729  -0.078884
 1910.0   -0.300639  -0.083011
 1915.0   -0.294558  -0.086849
 1920.0   -0.288497  -0.090408
 1925.0   -0.282466  -0.093697
 1930.0   -0.276472  -0.096726
 1935.0   -0.270524  -0.099505
 1940.0   -0.264629  -0.102041
 1945.0   -0.258794  -0.104350
 1950.0   -0.253024  -0.106436
 1955.0   -0.247325  -0.108312
 1960.0   -0.241701  -0.109986
 1965.0   -0.236158  -0.111469
 1970.0   -0.230697  -0.112769
 1975.0   -0.225322  -0.113895
 1980.0   -0.220036  -0.114858
 1985.0   -0.214841  -0.115665
 1990.0   -0.209738  -0.116325
 1995.0   -0.204730  -0.116846
 2000.0   -0.199803  -0.117241
 2005.0   -0.194982  -0.117514
