   W         M2+(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.002200  -0.000339
 1085.0   -0.003767  -0.000626
 1090.0   -0.005279  -0.000939
 1095.0   -0.006731  -0.001275
 1100.0   -0.008121  -0.001631
 1105.0   -0.009448  -0.002004
 1110.0   -0.010709  -0.002389
 1115.0   -0.011904  -0.002783
 1120.0   -0.013030  -0.003181
 1125.0   -0.014088  -0.003579
 1130.0   -0.015077  -0.003973
 1135.0   -0.015996  -0.004358
 1140.0   -0.016846  -0.004731
 1145.0   -0.017627  -0.005087
 1150.0   -0.018340  -0.005421
 1155.0   -0.018986  -0.005730
 1160.0   -0.019566  -0.006008
 1165.0   -0.020081  -0.006252
 1170.0   -0.020533  -0.006457
 1175.0   -0.020925  -0.006619
 1180.0   -0.021258  -0.006735
 1185.0   -0.021535  -0.006801
 1190.0   -0.021759  -0.006813
 1195.0   -0.021932  -0.006767
 1200.0   -0.022058  -0.006660
 1205.0   -0.022139  -0.006490
 1210.0   -0.022179  -0.006252
 1215.0   -0.022182  -0.005946
 1220.0   -0.022151  -0.005569
 1225.0   -0.022089  -0.005118
 1230.0   -0.022001  -0.004593
 1235.0   -0.021890  -0.003990
 1240.0   -0.021760  -0.003310
 1245.0   -0.021615  -0.002551
 1250.0   -0.021460  -0.001713
 1255.0   -0.021297  -0.000795
 1260.0   -0.021131   0.000204
 1265.0   -0.020963   0.001284
 1270.0   -0.020809   0.002438
 1275.0   -0.020651   0.003676
 1280.0   -0.020515   0.004989
 1285.0   -0.020388   0.006379
 1290.0   -0.020286   0.007843
 1295.0   -0.020201   0.009380
 1300.0   -0.020140   0.010987
 1305.0   -0.020114   0.012663
 1310.0   -0.020113   0.014404
 1315.0   -0.020147   0.016207
 1320.0   -0.020215   0.018068
 1325.0   -0.020325   0.019988
 1330.0   -0.020470   0.021957
 1335.0   -0.020656   0.023975
 1340.0   -0.020885   0.026037
 1345.0   -0.021155   0.028138
 1350.0   -0.021472   0.030286
 1355.0   -0.021827   0.032447
 1360.0   -0.022226   0.034643
 1365.0   -0.022668   0.036862
 1370.0   -0.023151   0.039098
 1375.0   -0.023673   0.041348
 1380.0   -0.024232   0.043606
 1385.0   -0.024829   0.045865
 1390.0   -0.025452   0.048130
 1395.0   -0.026107   0.050386
 1400.0   -0.026787   0.052633
 1405.0   -0.027487   0.054867
 1410.0   -0.028202   0.057083
 1415.0   -0.028926   0.059279
 1420.0   -0.029655   0.061450
 1425.0   -0.030380   0.063595
 1430.0   -0.031095   0.065709
 1435.0   -0.031808   0.067786
 1440.0   -0.032456   0.069844
 1445.0   -0.033089   0.071860
 1450.0   -0.033674   0.073842
 1455.0   -0.034202   0.075790
 1460.0   -0.034662   0.077707
 1465.0   -0.035040   0.079595
 1470.0   -0.035324   0.081458
 1475.0   -0.035501   0.083301
 1480.0   -0.035556   0.085130
 1485.0   -0.035474   0.086955
 1490.0   -0.035239   0.088785
 1495.0   -0.034835   0.090632
 1500.0   -0.034246   0.092513
 1505.0   -0.033436   0.094446
 1510.0   -0.032431   0.096448
 1515.0   -0.031176   0.098547
 1520.0   -0.029664   0.100771
 1525.0   -0.027877   0.103153
 1530.0   -0.025798   0.105733
 1535.0   -0.023413   0.108553
 1540.0   -0.020709   0.111666
 1545.0   -0.017677   0.115131
 1550.0   -0.014313   0.119012
 1555.0   -0.010617   0.123387
 1560.0   -0.006600   0.128341
 1565.0   -0.002283   0.133971
 1570.0    0.002298   0.140379
 1575.0    0.007089   0.147684
 1580.0    0.012012   0.156010
 1585.0    0.016963   0.165489
 1590.0    0.021799   0.176254
 1595.0    0.026336   0.188435
 1600.0    0.030343   0.202149
