   W         M1-(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.995113  -0.106792
 1085.0   -1.281455  -0.139386
 1090.0   -1.491948  -0.163760
 1095.0   -1.656383  -0.182770
 1100.0   -1.788181  -0.197670
 1105.0   -1.894881  -0.209157
 1110.0   -1.981280  -0.217677
 1115.0   -2.050702  -0.223544
 1120.0   -2.105591  -0.226996
 1125.0   -2.147819  -0.228227
 1130.0   -2.178879  -0.227397
 1135.0   -2.199987  -0.224647
 1140.0   -2.212159  -0.220100
 1145.0   -2.216257  -0.213868
 1150.0   -2.213016  -0.206052
 1155.0   -2.203079  -0.196743
 1160.0   -2.187004  -0.186025
 1165.0   -2.165286  -0.173974
 1170.0   -2.138358  -0.160659
 1175.0   -2.106608  -0.146141
 1180.0   -2.070375  -0.130473
 1185.0   -2.029965  -0.113699
 1190.0   -1.985645  -0.095858
 1195.0   -1.937654  -0.076975
 1200.0   -1.886201  -0.057070
 1205.0   -1.831471  -0.036151
 1210.0   -1.773632  -0.014159
 1215.0   -1.712909   0.009582
 1220.0   -1.649468   0.035304
 1225.0   -1.583425   0.063074
 1230.0   -1.514899   0.092971
 1235.0   -1.443996   0.125096
 1240.0   -1.370827   0.159566
 1245.0   -1.295501   0.196521
 1250.0   -1.218137   0.236119
 1255.0   -1.138863   0.278542
 1260.0   -1.057832   0.323994
 1265.0   -0.975205   0.372707
 1270.0   -0.891222   0.424898
 1275.0   -0.806073   0.480877
 1280.0   -0.720105   0.540878
 1285.0   -0.633639   0.605216
 1290.0   -0.547089   0.674166
 1295.0   -0.460898   0.748056
 1300.0   -0.376690   0.826450
 1305.0   -0.293809   0.910277
 1310.0   -0.212877   0.999956
 1315.0   -0.135411   1.095059
 1320.0   -0.061450   1.196718
 1325.0    0.006732   1.303429
 1330.0    0.067971   1.414528
 1335.0    0.121548   1.530011
 1340.0    0.166340   1.649111
 1345.0    0.201292   1.770837
 1350.0    0.225504   1.893962
 1355.0    0.238228   2.017202
 1360.0    0.239033   2.138944
 1365.0    0.227759   2.257611
 1370.0    0.204582   2.371603
 1375.0    0.170013   2.479379
 1380.0    0.124871   2.579562
 1385.0    0.070233   2.670992
 1390.0    0.007405   2.752742
 1395.0   -0.062239   2.824238
 1400.0   -0.137237   2.885144
 1405.0   -0.216154   2.935418
 1410.0   -0.297638   2.975258
 1415.0   -0.380455   3.005059
 1420.0   -0.463514   3.025369
 1425.0   -0.545888   3.036839
 1430.0   -0.626806   3.040185
 1435.0   -0.705690   3.036170
 1440.0   -0.781944   3.025477
 1445.0   -0.855130   3.008778
 1450.0   -0.925356   2.986967
 1455.0   -0.992297   2.960588
 1460.0   -1.055686   2.930162
 1465.0   -1.115467   2.896108
 1470.0   -1.171658   2.858953
 1475.0   -1.224518   2.819422
 1480.0   -1.274160   2.778020
 1485.0   -1.320421   2.734613
 1490.0   -1.363565   2.689214
 1495.0   -1.403272   2.642293
 1500.0   -1.439581   2.594175
 1505.0   -1.472524   2.545167
 1510.0   -1.502280   2.495566
 1515.0   -1.528866   2.445579
 1520.0   -1.552402   2.395425
 1525.0   -1.572994   2.345297
 1530.0   -1.590755   2.295372
 1535.0   -1.605803   2.245818
 1540.0   -1.618267   2.196779
 1545.0   -1.628279   2.148392
 1550.0   -1.636055   2.100714
 1555.0   -1.641143   2.054320
 1560.0   -1.644359   2.008785
 1565.0   -1.646218   1.963917
 1570.0   -1.646703   1.919763
 1575.0   -1.644970   1.876987
 1580.0   -1.642039   1.835507
 1585.0   -1.638011   1.795239
 1590.0   -1.632768   1.755915
 1595.0   -1.626563   1.717593
 1600.0   -1.619615   1.680266
 1605.0   -1.612088   1.643876
 1610.0   -1.604519   1.608008
 1615.0   -1.596736   1.572116
 1620.0   -1.588029   1.535781
 1625.0   -1.578078   1.499167
 1630.0   -1.566664   1.462368
 1635.0   -1.553570   1.425472
 1640.0   -1.538562   1.388601
 1645.0   -1.521392   1.351931
 1650.0   -1.501768   1.315920
 1655.0   -1.479549   1.280468
 1660.0   -1.454470   1.245813
 1665.0   -1.426474   1.213821
 1670.0   -1.395538   1.183993
 1675.0   -1.361925   1.157311
 1680.0   -1.326097   1.134469
 1685.0   -1.288288   1.115963
 1690.0   -1.249393   1.103191
 1695.0   -1.211426   1.096482
 1700.0   -1.175923   1.095202
 1705.0   -1.143961   1.098366
 1710.0   -1.116294   1.104831
 1715.0   -1.093208   1.113411
 1720.0   -1.074709   1.122977
 1725.0   -1.060516   1.132545
 1730.0   -1.050160   1.141327
 1735.0   -1.043069   1.148743
 1740.0   -1.038640   1.154407
 1745.0   -1.036282   1.158104
 1750.0   -1.035456   1.159750
 1755.0   -1.035644   1.159358
 1760.0   -1.036495   1.157020
 1765.0   -1.037636   1.152865
 1770.0   -1.038792   1.147054
 1775.0   -1.039744   1.139759
 1780.0   -1.040319   1.131157
 1785.0   -1.040385   1.121424
 1790.0   -1.039847   1.110723
 1795.0   -1.038633   1.099214
 1800.0   -1.036697   1.087043
 1805.0   -1.034009   1.074344
 1810.0   -1.030555   1.061245
 1815.0   -1.026332   1.047857
 1820.0   -1.021351   1.034283
 1825.0   -1.015622   1.020621
 1830.0   -1.009169   1.006957
 1835.0   -1.002020   0.993371
 1840.0   -0.994243   0.979959
 1845.0   -0.985835   0.966758
 1850.0   -0.976710   0.953728
 1855.0   -0.967117   0.941084
 1860.0   -0.957009   0.928798
 1865.0   -0.946429   0.916922
 1870.0   -0.935428   0.905484
 1875.0   -0.916475   0.898774
 1880.0   -0.912327   0.884036
 1885.0   -0.900320   0.874074
 1890.0   -0.888074   0.864647
 1895.0   -0.875633   0.855763
 1900.0   -0.863042   0.847435
 1905.0   -0.850347   0.839665
 1910.0   -0.837590   0.832455
 1915.0   -0.824823   0.825809
 1920.0   -0.812085   0.819717
 1925.0   -0.799418   0.814171
 1930.0   -0.786864   0.809163
 1935.0   -0.774462   0.804674
 1940.0   -0.762247   0.800694
 1945.0   -0.750262   0.797200
 1950.0   -0.738547   0.794155
 1955.0   -0.727121   0.791558
 1960.0   -0.716022   0.789372
 1965.0   -0.705268   0.787568
 1970.0   -0.694904   0.786114
 1975.0   -0.684944   0.784979
 1980.0   -0.675419   0.784125
 1985.0   -0.666340   0.783519
 1990.0   -0.657711   0.783122
 1995.0   -0.649559   0.782899
 2000.0   -0.641858   0.782811
 2005.0   -0.634938   0.782887
