   W         M1+(pi0_p)
 (MeV)      Re         Im
 1080.0    1.984248  -0.079466
 1085.0    2.736633  -0.088823
 1090.0    3.415328  -0.079452
 1095.0    4.068127  -0.050880
 1100.0    4.716291  -0.000722
 1105.0    5.371970   0.074546
 1110.0    6.043188   0.179462
 1115.0    6.735793   0.319639
 1120.0    7.454178   0.501897
 1125.0    8.201652   0.734492
 1130.0    8.980332   1.027319
 1135.0    9.791006   1.392208
 1140.0   10.632582   1.843188
 1145.0   11.501395   2.396684
 1150.0   12.390244   3.071705
 1155.0   13.286913   3.889620
 1160.0   14.172403   4.873593
 1165.0   15.018845   6.047227
 1170.0   15.787160   7.432032
 1175.0   16.425112   9.043139
 1180.0   16.866758  10.883527
 1185.0   17.034268  12.935464
 1190.0   16.844733  15.152484
 1195.0   16.222422  17.452500
 1200.0   15.116497  19.717576
 1205.0   13.520155  21.804062
 1210.0   11.483914  23.564243
 1215.0    9.114988  24.874129
 1220.0    6.562076  25.660451
 1225.0    3.985526  25.913107
 1230.0    1.528117  25.679548
 1235.0   -0.705221  25.046328
 1240.0   -2.653807  24.116442
 1245.0   -4.296460  22.990226
 1250.0   -5.641146  21.753793
 1255.0   -6.713687  20.474254
 1260.0   -7.548331  19.200075
 1265.0   -8.181522  17.963523
 1270.0   -8.647853  16.784373
 1275.0   -8.978014  15.673521
 1280.0   -9.198457  14.635293
 1285.0   -9.331186  13.669982
 1290.0   -9.394188  12.775216
 1295.0   -9.402036  11.947251
 1300.0   -9.366183  11.181511
 1305.0   -9.296101  10.473149
 1310.0   -9.199175   9.817350
 1315.0   -9.081023   9.209443
 1320.0   -8.946385   8.645133
 1325.0   -8.798493   8.120392
 1330.0   -8.640085   7.631617
 1335.0   -8.473334   7.175474
 1340.0   -8.299858   6.749011
 1345.0   -8.120923   6.349599
 1350.0   -7.937413   5.974849
 1355.0   -7.750256   5.622680
 1360.0   -7.559897   5.291208
 1365.0   -7.366876   4.978791
 1370.0   -7.171594   4.683949
 1375.0   -6.974424   4.405408
 1380.0   -6.775681   4.142025
 1385.0   -6.575678   3.892807
 1390.0   -6.374601   3.656852
 1395.0   -6.172821   3.433418
 1400.0   -5.970522   3.221823
 1405.0   -5.767968   3.021498
 1410.0   -5.565382   2.831924
 1415.0   -5.363006   2.652668
 1420.0   -5.161084   2.483350
 1425.0   -4.959860   2.323640
 1430.0   -4.759590   2.173250
 1435.0   -4.560578   2.031917
 1440.0   -4.362969   1.899410
 1445.0   -4.167085   1.775516
 1450.0   -3.973413   1.660059
 1455.0   -3.782197   1.552832
 1460.0   -3.593642   1.453606
 1465.0   -3.408053   1.362178
 1470.0   -3.225794   1.278318
 1475.0   -3.047402   1.201797
 1480.0   -2.873278   1.132349
 1485.0   -2.703556   1.069690
 1490.0   -2.538752   1.013086
 1495.0   -2.378819   0.962224
 1500.0   -2.223899   0.916850
 1505.0   -2.074189   0.876575
 1510.0   -1.929946   0.841051
 1515.0   -1.791226   0.809838
 1520.0   -1.658142   0.782517
 1525.0   -1.530722   0.758663
 1530.0   -1.408960   0.737857
 1535.0   -1.292810   0.719694
 1540.0   -1.182182   0.703791
 1545.0   -1.076946   0.689791
 1550.0   -0.977245   0.677342
 1555.0   -0.880389   0.666487
 1560.0   -0.788790   0.656832
 1565.0   -0.704186   0.647405
 1570.0   -0.625600   0.638159
 1575.0   -0.548855   0.629980
 1580.0   -0.476264   0.622155
 1585.0   -0.407613   0.614590
 1590.0   -0.342632   0.607225
 1595.0   -0.281226   0.600004
 1600.0   -0.223295   0.592883
 1605.0   -0.168744   0.585817
 1610.0   -0.117567   0.578648
 1615.0   -0.069560   0.571271
 1620.0   -0.024455   0.563698
 1625.0    0.017818   0.555988
 1630.0    0.057298   0.548137
 1635.0    0.094031   0.540113
 1640.0    0.128069   0.531859
 1645.0    0.159473   0.523310
 1650.0    0.188643   0.515022
 1655.0    0.214919   0.505505
 1660.0    0.238270   0.495495
 1665.0    0.260394   0.484139
 1670.0    0.279974   0.472806
 1675.0    0.297484   0.459937
 1680.0    0.313079   0.445241
 1685.0    0.328785   0.427050
 1690.0    0.347220   0.408387
 1695.0    0.366557   0.391607
 1700.0    0.385631   0.376568
 1705.0    0.403916   0.362995
 1710.0    0.421176   0.350628
 1715.0    0.437271   0.339217
 1720.0    0.452225   0.328552
 1725.0    0.466121   0.318450
 1730.0    0.478987   0.308765
 1735.0    0.490920   0.299365
 1740.0    0.502011   0.290141
 1745.0    0.512352   0.281001
 1750.0    0.522033   0.271865
 1755.0    0.531161   0.262653
 1760.0    0.539784   0.253328
 1765.0    0.548044   0.243839
 1770.0    0.555904   0.234138
 1775.0    0.563478   0.224206
 1780.0    0.570812   0.214025
 1785.0    0.577948   0.203592
 1790.0    0.584924   0.192906
 1795.0    0.591767   0.181979
 1800.0    0.598504   0.170831
 1805.0    0.605066   0.159433
 1810.0    0.611347   0.147651
 1815.0    0.618309   0.136380
 1820.0    0.625975   0.123633
 1825.0    0.631161   0.112819
 1830.0    0.637546   0.101032
 1835.0    0.643885   0.089287
 1840.0    0.650195   0.077609
 1845.0    0.656435   0.066055
 1850.0    0.662628   0.054684
 1855.0    0.668741   0.043511
 1860.0    0.674736   0.032555
 1865.0    0.680644   0.021897
 1870.0    0.686489   0.011615
 1875.0    0.695223   0.008341
 1880.0    0.697611  -0.007989
 1885.0    0.702888  -0.017210
 1890.0    0.707939  -0.026023
 1895.0    0.712731  -0.034414
 1900.0    0.717235  -0.042376
 1905.0    0.721419  -0.049910
 1910.0    0.725250  -0.057018
 1915.0    0.728704  -0.063712
 1920.0    0.731751  -0.070007
 1925.0    0.734365  -0.075923
 1930.0    0.736528  -0.081484
 1935.0    0.738221  -0.086723
 1940.0    0.739431  -0.091673
 1945.0    0.740154  -0.096365
 1950.0    0.740387  -0.100837
 1955.0    0.740133  -0.105132
 1960.0    0.739403  -0.109284
 1965.0    0.738212  -0.113332
 1970.0    0.736580  -0.117311
 1975.0    0.734541  -0.121248
 1980.0    0.732218  -0.124839
 1985.0    0.729322  -0.129138
 1990.0    0.726226  -0.133128
 1995.0    0.722854  -0.137169
 2000.0    0.721141  -0.143841
 2005.0    0.714961  -0.145386
