   W         E4-(pi0_p)
 (MeV)      Re         Im
 1080.0    0.000001   0.000000
 1085.0    0.000002   0.000000
 1090.0    0.000004   0.000001
 1095.0    0.000007   0.000002
 1100.0    0.000010   0.000003
 1105.0    0.000015   0.000004
 1110.0    0.000021   0.000005
 1115.0    0.000028   0.000006
 1120.0    0.000036   0.000008
 1125.0    0.000045   0.000010
 1130.0    0.000056   0.000012
 1135.0    0.000068   0.000014
 1140.0    0.000081   0.000016
 1145.0    0.000096   0.000018
 1150.0    0.000113   0.000020
 1155.0    0.000132   0.000022
 1160.0    0.000153   0.000024
 1165.0    0.000175   0.000026
 1170.0    0.000200   0.000027
 1175.0    0.000226   0.000028
 1180.0    0.000255   0.000028
 1185.0    0.000287   0.000028
 1190.0    0.000320   0.000027
 1195.0    0.000357   0.000025
 1200.0    0.000396   0.000023
 1205.0    0.000437   0.000019
 1210.0    0.000482   0.000013
 1215.0    0.000530   0.000007
 1220.0    0.000581  -0.000001
 1225.0    0.000635  -0.000011
 1230.0    0.000693  -0.000023
 1235.0    0.000754  -0.000036
 1240.0    0.000818  -0.000052
 1245.0    0.000887  -0.000071
 1250.0    0.000960  -0.000092
 1255.0    0.001037  -0.000115
 1260.0    0.001118  -0.000142
 1265.0    0.001205  -0.000170
 1270.0    0.001291  -0.000205
 1275.0    0.001388  -0.000240
 1280.0    0.001487  -0.000281
 1285.0    0.001592  -0.000325
 1290.0    0.001703  -0.000372
 1295.0    0.001819  -0.000425
 1300.0    0.001939  -0.000481
 1305.0    0.002068  -0.000542
 1310.0    0.002201  -0.000608
 1315.0    0.002341  -0.000678
 1320.0    0.002487  -0.000754
 1325.0    0.002641  -0.000834
 1330.0    0.002800  -0.000921
 1335.0    0.002967  -0.001013
 1340.0    0.003142  -0.001110
 1345.0    0.003323  -0.001213
 1350.0    0.003516  -0.001320
 1355.0    0.003712  -0.001436
 1360.0    0.003918  -0.001557
 1365.0    0.004132  -0.001684
 1370.0    0.004355  -0.001817
 1375.0    0.004588  -0.001957
 1380.0    0.004829  -0.002102
 1385.0    0.005080  -0.002254
 1390.0    0.005341  -0.002412
 1395.0    0.005611  -0.002577
 1400.0    0.005892  -0.002748
 1405.0    0.006183  -0.002925
 1410.0    0.006485  -0.003108
 1415.0    0.006797  -0.003297
 1420.0    0.007120  -0.003493
 1425.0    0.007455  -0.003694
 1430.0    0.007801  -0.003901
 1435.0    0.008160  -0.004112
 1440.0    0.008527  -0.004333
 1445.0    0.008908  -0.004556
 1450.0    0.009302  -0.004785
 1455.0    0.009708  -0.005019
 1460.0    0.010126  -0.005258
 1465.0    0.010556  -0.005502
 1470.0    0.011000  -0.005749
 1475.0    0.011456  -0.006001
 1480.0    0.011925  -0.006256
 1485.0    0.012407  -0.006515
 1490.0    0.012903  -0.006777
 1495.0    0.013411  -0.007041
 1500.0    0.013933  -0.007308
 1505.0    0.014467  -0.007578
 1510.0    0.015016  -0.007848
 1515.0    0.015577  -0.008119
 1520.0    0.016152  -0.008391
 1525.0    0.016740  -0.008664
 1530.0    0.017341  -0.008936
 1535.0    0.017955  -0.009208
 1540.0    0.018582  -0.009478
 1545.0    0.019222  -0.009747
 1550.0    0.019874  -0.010014
 1555.0    0.020539  -0.010278
 1560.0    0.021216  -0.010539
 1565.0    0.021906  -0.010796
 1570.0    0.022607  -0.011048
 1575.0    0.023319  -0.011295
 1580.0    0.024043  -0.011537
 1585.0    0.024778  -0.011772
 1590.0    0.025524  -0.012001
 1595.0    0.026280  -0.012222
 1600.0    0.027046  -0.012435
 1605.0    0.027820  -0.012639
 1610.0    0.028604  -0.012834
 1615.0    0.029396  -0.013018
 1620.0    0.030196  -0.013191
 1625.0    0.031004  -0.013353
 1630.0    0.031818  -0.013502
 1635.0    0.032638  -0.013638
 1640.0    0.033464  -0.013761
 1645.0    0.034294  -0.013869
 1650.0    0.035128  -0.013961
 1655.0    0.035965  -0.014038
 1660.0    0.036805  -0.014098
 1665.0    0.037646  -0.014141
 1670.0    0.038488  -0.014166
 1675.0    0.039329  -0.014173
 1680.0    0.040169  -0.014161
 1685.0    0.041007  -0.014130
 1690.0    0.041841  -0.014080
 1695.0    0.042672  -0.014011
 1700.0    0.043497  -0.013924
 1705.0    0.044316  -0.013817
 1710.0    0.045129  -0.013692
 1715.0    0.045933  -0.013550
 1720.0    0.046730  -0.013391
 1725.0    0.047517  -0.013215
 1730.0    0.048294  -0.013025
 1735.0    0.049060  -0.012819
 1740.0    0.049816  -0.012600
 1745.0    0.050559  -0.012368
 1750.0    0.051290  -0.012123
 1755.0    0.052007  -0.011868
 1760.0    0.052711  -0.011601
 1765.0    0.053401  -0.011325
 1770.0    0.054075  -0.011039
 1775.0    0.054734  -0.010745
 1780.0    0.055377  -0.010443
 1785.0    0.056003  -0.010133
 1790.0    0.056612  -0.009817
 1795.0    0.057203  -0.009495
 1800.0    0.057776  -0.009168
 1805.0    0.058330  -0.008836
 1810.0    0.058865  -0.008501
 1815.0    0.059379  -0.008163
 1820.0    0.059874  -0.007822
 1825.0    0.060347  -0.007479
 1830.0    0.060800  -0.007136
 1835.0    0.061231  -0.006792
 1840.0    0.061640  -0.006450
 1845.0    0.062026  -0.006109
 1850.0    0.062390  -0.005771
 1855.0    0.062732  -0.005437
 1860.0    0.063050  -0.005107
 1865.0    0.063345  -0.004782
 1870.0    0.063617  -0.004465
 1875.0    0.063866  -0.004155
 1880.0    0.064091  -0.003853
 1885.0    0.064293  -0.003561
 1890.0    0.064471  -0.003281
 1895.0    0.064627  -0.003012
 1900.0    0.064760  -0.002756
 1905.0    0.064871  -0.002515
 1910.0    0.064959  -0.002289
 1915.0    0.065026  -0.002080
 1920.0    0.065072  -0.001889
 1925.0    0.065098  -0.001717
 1930.0    0.065104  -0.001566
 1935.0    0.065091  -0.001436
 1940.0    0.065060  -0.001329
 1945.0    0.065013  -0.001245
 1950.0    0.064949  -0.001187
 1955.0    0.064872  -0.001156
 1960.0    0.064781  -0.001151
 1965.0    0.064678  -0.001175
 1970.0    0.064566  -0.001228
 1975.0    0.064445  -0.001312
 1980.0    0.064318  -0.001426
 1985.0    0.064187  -0.001572
 1990.0    0.064053  -0.001750
 1995.0    0.063919  -0.001961
 2000.0    0.063786  -0.002205
 2005.0    0.063632  -0.002519
