   W         E2+(pi0_p)
 (MeV)      Re         Im
 1080.0    0.000269   0.000295
 1085.0    0.000495   0.000550
 1090.0    0.000743   0.000838
 1095.0    0.001012   0.001160
 1100.0    0.001303   0.001517
 1105.0    0.001616   0.001911
 1110.0    0.001949   0.002341
 1115.0    0.002303   0.002810
 1120.0    0.002676   0.003317
 1125.0    0.003068   0.003864
 1130.0    0.003477   0.004451
 1135.0    0.003904   0.005077
 1140.0    0.004346   0.005744
 1145.0    0.004802   0.006452
 1150.0    0.005272   0.007201
 1155.0    0.005754   0.007990
 1160.0    0.006246   0.008819
 1165.0    0.006747   0.009689
 1170.0    0.007256   0.010599
 1175.0    0.007771   0.011547
 1180.0    0.008290   0.012535
 1185.0    0.008812   0.013560
 1190.0    0.009335   0.014621
 1195.0    0.009857   0.015719
 1200.0    0.010377   0.016852
 1205.0    0.010893   0.018018
 1210.0    0.011402   0.019217
 1215.0    0.011905   0.020447
 1220.0    0.012397   0.021707
 1225.0    0.012879   0.022994
 1230.0    0.013348   0.024308
 1235.0    0.013803   0.025647
 1240.0    0.014241   0.027009
 1245.0    0.014662   0.028391
 1250.0    0.015064   0.029794
 1255.0    0.015445   0.031213
 1260.0    0.015804   0.032647
 1265.0    0.016143   0.034096
 1270.0    0.016447   0.035551
 1275.0    0.016736   0.037020
 1280.0    0.016991   0.038492
 1285.0    0.017221   0.039970
 1290.0    0.017419   0.041449
 1295.0    0.017588   0.042929
 1300.0    0.017726   0.044405
 1305.0    0.017832   0.045877
 1310.0    0.017904   0.047342
 1315.0    0.017944   0.048796
 1320.0    0.017948   0.050239
 1325.0    0.017921   0.051669
 1330.0    0.017856   0.053081
 1335.0    0.017756   0.054475
 1340.0    0.017621   0.055848
 1345.0    0.017450   0.057198
 1350.0    0.017254   0.058529
 1355.0    0.017004   0.059821
 1360.0    0.016727   0.061089
 1365.0    0.016414   0.062326
 1370.0    0.016066   0.063529
 1375.0    0.015683   0.064698
 1380.0    0.015266   0.065829
 1385.0    0.014811   0.066921
 1390.0    0.014330   0.067976
 1395.0    0.013811   0.068986
 1400.0    0.013259   0.069953
 1405.0    0.012676   0.070875
 1410.0    0.012060   0.071751
 1415.0    0.011413   0.072579
 1420.0    0.010736   0.073357
 1425.0    0.010028   0.074086
 1430.0    0.009290   0.074763
 1435.0    0.008518   0.075385
 1440.0    0.007729   0.075961
 1445.0    0.006905   0.076478
 1450.0    0.006053   0.076941
 1455.0    0.005173   0.077347
 1460.0    0.004266   0.077697
 1465.0    0.003330   0.077990
 1470.0    0.002367   0.078224
 1475.0    0.001375   0.078399
 1480.0    0.000354   0.078514
 1485.0   -0.000696   0.078569
 1490.0   -0.001776   0.078562
 1495.0   -0.002888   0.078492
 1500.0   -0.004033   0.078358
 1505.0   -0.005212   0.078159
 1510.0   -0.006429   0.077892
 1515.0   -0.007684   0.077555
 1520.0   -0.008981   0.077146
 1525.0   -0.010323   0.076662
 1530.0   -0.011712   0.076098
 1535.0   -0.013154   0.075450
 1540.0   -0.014651   0.074713
 1545.0   -0.016207   0.073878
 1550.0   -0.017828   0.072939
 1555.0   -0.019518   0.071884
 1560.0   -0.021280   0.070701
 1565.0   -0.023118   0.069376
 1570.0   -0.025034   0.067893
 1575.0   -0.027030   0.066230
 1580.0   -0.029104   0.064365
 1585.0   -0.031250   0.062270
 1590.0   -0.033461   0.059916
 1595.0   -0.035720   0.057270
 1600.0   -0.038003   0.054294
 1605.0   -0.040280   0.050951
 1610.0   -0.042503   0.047207
 1615.0   -0.044615   0.043028
 1620.0   -0.046543   0.038391
 1625.0   -0.048201   0.033287
 1630.0   -0.049490   0.027725
 1635.0   -0.050305   0.021741
 1640.0   -0.050544   0.015402
 1645.0   -0.050114   0.008806
 1650.0   -0.048943   0.002079
 1655.0   -0.047015  -0.004626
 1660.0   -0.044325  -0.011155
 1665.0   -0.040930  -0.017358
 1670.0   -0.036923  -0.023106
 1675.0   -0.032426  -0.028304
 1680.0   -0.027573  -0.032898
 1685.0   -0.022500  -0.036873
 1690.0   -0.017329  -0.040248
 1695.0   -0.012162  -0.043066
 1700.0   -0.007080  -0.045389
 1705.0   -0.002136  -0.047284
 1710.0    0.002634  -0.048819
 1715.0    0.007213  -0.050057
 1720.0    0.011598  -0.051055
 1725.0    0.015795  -0.051860
 1730.0    0.019813  -0.052513
 1735.0    0.023666  -0.053045
 1740.0    0.027369  -0.053480
 1745.0    0.030936  -0.053838
 1750.0    0.034382  -0.054135
 1755.0    0.037716  -0.054384
 1760.0    0.040955  -0.054590
 1765.0    0.044108  -0.054762
 1770.0    0.047179  -0.054905
 1775.0    0.050180  -0.055025
 1780.0    0.053117  -0.055122
 1785.0    0.055995  -0.055201
 1790.0    0.058820  -0.055263
 1795.0    0.061597  -0.055310
 1800.0    0.064329  -0.055342
 1805.0    0.067021  -0.055362
 1810.0    0.069676  -0.055369
 1815.0    0.072297  -0.055364
 1820.0    0.074887  -0.055347
 1825.0    0.077448  -0.055319
 1830.0    0.079983  -0.055280
 1835.0    0.082493  -0.055228
 1840.0    0.084981  -0.055164
 1845.0    0.087449  -0.055089
 1850.0    0.089898  -0.055000
 1855.0    0.092328  -0.054898
 1860.0    0.094743  -0.054782
 1865.0    0.097141  -0.054651
 1870.0    0.099526  -0.054502
 1875.0    0.101896  -0.054338
 1880.0    0.104253  -0.054157
 1885.0    0.106598  -0.053957
 1890.0    0.108930  -0.053738
 1895.0    0.111249  -0.053499
 1900.0    0.113557  -0.053238
 1905.0    0.115852  -0.052956
 1910.0    0.118135  -0.052651
 1915.0    0.120406  -0.052323
 1920.0    0.122663  -0.051970
 1925.0    0.124907  -0.051592
 1930.0    0.127137  -0.051188
 1935.0    0.129353  -0.050757
 1940.0    0.131553  -0.050300
 1945.0    0.133737  -0.049815
 1950.0    0.135904  -0.049301
 1955.0    0.138054  -0.048760
 1960.0    0.140185  -0.048189
 1965.0    0.142296  -0.047589
 1970.0    0.144386  -0.046961
 1975.0    0.146455  -0.046302
 1980.0    0.148501  -0.045615
 1985.0    0.150524  -0.044898
 1990.0    0.152521  -0.044151
 1995.0    0.154493  -0.043375
 2000.0    0.156434  -0.042573
 2005.0    0.158351  -0.041738
