   W         M3-(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.000013   0.000003
 1085.0   -0.000030   0.000008
 1090.0   -0.000053   0.000013
 1095.0   -0.000079   0.000020
 1100.0   -0.000108   0.000027
 1105.0   -0.000141   0.000034
 1110.0   -0.000176   0.000042
 1115.0   -0.000212   0.000050
 1120.0   -0.000250   0.000058
 1125.0   -0.000288   0.000065
 1130.0   -0.000326   0.000072
 1135.0   -0.000362   0.000078
 1140.0   -0.000396   0.000083
 1145.0   -0.000427   0.000086
 1150.0   -0.000453   0.000087
 1155.0   -0.000474   0.000087
 1160.0   -0.000487   0.000084
 1165.0   -0.000492   0.000078
 1170.0   -0.000487   0.000068
 1175.0   -0.000470   0.000056
 1180.0   -0.000439   0.000039
 1185.0   -0.000393   0.000018
 1190.0   -0.000329  -0.000008
 1195.0   -0.000245  -0.000039
 1200.0   -0.000139  -0.000075
 1205.0   -0.000009  -0.000117
 1210.0    0.000149  -0.000166
 1215.0    0.000336  -0.000221
 1220.0    0.000556  -0.000284
 1225.0    0.000812  -0.000353
 1230.0    0.001106  -0.000430
 1235.0    0.001443  -0.000515
 1240.0    0.001824  -0.000608
 1245.0    0.002255  -0.000710
 1250.0    0.002738  -0.000820
 1255.0    0.003277  -0.000938
 1260.0    0.003877  -0.001066
 1265.0    0.004543  -0.001200
 1270.0    0.005270  -0.001348
 1275.0    0.006078  -0.001499
 1280.0    0.006960  -0.001662
 1285.0    0.007924  -0.001831
 1290.0    0.008978  -0.002009
 1295.0    0.010121  -0.002193
 1300.0    0.011361  -0.002384
 1305.0    0.012708  -0.002580
 1310.0    0.014158  -0.002782
 1315.0    0.015723  -0.002988
 1320.0    0.017406  -0.003197
 1325.0    0.019219  -0.003406
 1330.0    0.021159  -0.003616
 1335.0    0.023238  -0.003824
 1340.0    0.025462  -0.004028
 1345.0    0.027836  -0.004227
 1350.0    0.030371  -0.004407
 1355.0    0.033065  -0.004592
 1360.0    0.035933  -0.004756
 1365.0    0.038982  -0.004901
 1370.0    0.042217  -0.005025
 1375.0    0.045647  -0.005123
 1380.0    0.049281  -0.005190
 1385.0    0.053128  -0.005225
 1390.0    0.057190  -0.005213
 1395.0    0.061485  -0.005159
 1400.0    0.066018  -0.005052
 1405.0    0.070799  -0.004885
 1410.0    0.075837  -0.004652
 1415.0    0.081144  -0.004343
 1420.0    0.086729  -0.003950
 1425.0    0.092603  -0.003464
 1430.0    0.098779  -0.002874
 1435.0    0.105279  -0.002170
 1440.0    0.112076  -0.001333
 1445.0    0.119226  -0.000357
 1450.0    0.126726   0.000776
 1455.0    0.134591   0.002083
 1460.0    0.142833   0.003580
 1465.0    0.151469   0.005289
 1470.0    0.160514   0.007230
 1475.0    0.169982   0.009428
 1480.0    0.179891   0.011909
 1485.0    0.190258   0.014703
 1490.0    0.201100   0.017840
 1495.0    0.212435   0.021358
 1500.0    0.224282   0.025295
 1505.0    0.236648   0.029694
 1510.0    0.249579   0.034609
 1515.0    0.263072   0.040090
 1520.0    0.277148   0.046200
 1525.0    0.291828   0.053007
 1530.0    0.307127   0.060589
 1535.0    0.323059   0.069031
 1540.0    0.339636   0.078430
 1545.0    0.356864   0.088897
 1550.0    0.374746   0.100553
 1555.0    0.393275   0.113540
 1560.0    0.412436   0.128012
 1565.0    0.432202   0.144145
 1570.0    0.452522   0.162139
 1575.0    0.473329   0.182216
 1580.0    0.494520   0.204623
 1585.0    0.515961   0.229639
 1590.0    0.537460   0.257565
 1595.0    0.558765   0.288731
 1600.0    0.579544   0.323492
 1605.0    0.599357   0.362206
 1610.0    0.617655   0.405241
 1615.0    0.633720   0.452930
 1620.0    0.646667   0.505536
 1625.0    0.655410   0.563208
 1630.0    0.658651   0.625890
 1635.0    0.654896   0.693229
 1640.0    0.642498   0.764455
 1645.0    0.619797   0.838256
 1650.0    0.585243   0.912664
 1655.0    0.537728   0.985026
 1660.0    0.476822   1.051988
 1665.0    0.403356   1.110213
 1670.0    0.319139   1.155830
 1675.0    0.227470   1.186047
 1680.0    0.132570   1.199112
 1685.0    0.039075   1.194827
 1690.0   -0.048636   1.174583
 1695.0   -0.127064   1.141061
 1700.0   -0.193956   1.097709
 1705.0   -0.248372   1.048163
 1710.0   -0.290503   0.995768
 1715.0   -0.321359   0.943287
 1720.0   -0.342428   0.892779
 1725.0   -0.355389   0.845628
 1730.0   -0.361903   0.802642
 1735.0   -0.363489   0.764178
 1740.0   -0.361466   0.730279
 1745.0   -0.356927   0.700767
 1750.0   -0.350762   0.675339
 1755.0   -0.343671   0.653616
 1760.0   -0.336194   0.635201
 1765.0   -0.328743   0.619684
 1770.0   -0.321619   0.606674
 1775.0   -0.315040   0.595802
 1780.0   -0.309152   0.586727
 1785.0   -0.304048   0.579137
 1790.0   -0.299779   0.572756
 1795.0   -0.296358   0.567330
 1800.0   -0.293773   0.562641
 1805.0   -0.291986   0.558482
 1810.0   -0.290914   0.554606
 1815.0   -0.290625   0.551204
 1820.0   -0.290897   0.547764
 1825.0   -0.291721   0.544357
 1830.0   -0.293012   0.540888
 1835.0   -0.294693   0.537299
 1840.0   -0.296690   0.533539
 1845.0   -0.298927   0.529577
 1850.0   -0.301347   0.525410
 1855.0   -0.303879   0.521011
 1860.0   -0.306474   0.516387
 1865.0   -0.309081   0.511543
 1870.0   -0.311654   0.506491
 1875.0   -0.314165   0.501246
 1880.0   -0.316580   0.495824
 1885.0   -0.318875   0.490245
 1890.0   -0.321031   0.484528
 1895.0   -0.323033   0.478694
 1900.0   -0.324870   0.472761
 1905.0   -0.326533   0.466748
 1910.0   -0.328018   0.460673
 1915.0   -0.329323   0.454551
 1920.0   -0.330445   0.448398
 1925.0   -0.331386   0.442227
 1930.0   -0.332147   0.436051
 1935.0   -0.332730   0.429881
 1940.0   -0.333140   0.423726
 1945.0   -0.333377   0.417598
 1950.0   -0.333448   0.411503
 1955.0   -0.333354   0.405449
 1960.0   -0.333100   0.399445
 1965.0   -0.332690   0.393496
 1970.0   -0.332128   0.387611
 1975.0   -0.331417   0.381794
 1980.0   -0.330562   0.376052
 1985.0   -0.329568   0.370392
 1990.0   -0.328437   0.364821
 1995.0   -0.327177   0.359343
 2000.0   -0.325786   0.353961
 2005.0   -0.324278   0.348689
