   W         E6-(pi0_p)
 (MeV)      Re         Im
 1080.0    0.000000   0.000000
 1085.0    0.000000   0.000000
 1090.0    0.000000   0.000000
 1095.0    0.000000   0.000000
 1100.0    0.000000   0.000000
 1105.0    0.000000   0.000000
 1110.0    0.000000   0.000000
 1115.0    0.000000   0.000000
 1120.0    0.000000   0.000000
 1125.0    0.000000   0.000000
 1130.0    0.000000   0.000000
 1135.0    0.000000   0.000000
 1140.0    0.000000   0.000000
 1145.0    0.000000   0.000000
 1150.0    0.000000   0.000000
 1155.0    0.000000   0.000000
 1160.0    0.000000   0.000000
 1165.0    0.000000   0.000000
 1170.0    0.000000   0.000000
 1175.0    0.000000   0.000000
 1180.0    0.000000   0.000000
 1185.0    0.000000   0.000000
 1190.0    0.000000  -0.000000
 1195.0    0.000000  -0.000000
 1200.0    0.000000  -0.000000
 1205.0    0.000001  -0.000000
 1210.0    0.000001  -0.000000
 1215.0    0.000001  -0.000000
 1220.0    0.000001  -0.000000
 1225.0    0.000001  -0.000000
 1230.0    0.000001  -0.000000
 1235.0    0.000001  -0.000000
 1240.0    0.000001  -0.000001
 1245.0    0.000001  -0.000001
 1250.0    0.000002  -0.000001
 1255.0    0.000002  -0.000001
 1260.0    0.000002  -0.000001
 1265.0    0.000003  -0.000001
 1270.0    0.000002  -0.000002
 1275.0    0.000002  -0.000003
 1280.0    0.000003  -0.000003
 1285.0    0.000002  -0.000003
 1290.0    0.000004  -0.000003
 1295.0    0.000004  -0.000004
 1300.0    0.000004  -0.000005
 1305.0    0.000004  -0.000005
 1310.0    0.000005  -0.000006
 1315.0    0.000005  -0.000007
 1320.0    0.000006  -0.000008
 1325.0    0.000005  -0.000009
 1330.0    0.000006  -0.000010
 1335.0    0.000006  -0.000012
 1340.0    0.000007  -0.000013
 1345.0    0.000008  -0.000015
 1350.0    0.000006  -0.000018
 1355.0    0.000009  -0.000019
 1360.0    0.000009  -0.000021
 1365.0    0.000010  -0.000023
 1370.0    0.000011  -0.000025
 1375.0    0.000012  -0.000028
 1380.0    0.000013  -0.000031
 1385.0    0.000013  -0.000034
 1390.0    0.000014  -0.000037
 1395.0    0.000016  -0.000041
 1400.0    0.000017  -0.000045
 1405.0    0.000018  -0.000049
 1410.0    0.000019  -0.000053
 1415.0    0.000021  -0.000058
 1420.0    0.000022  -0.000063
 1425.0    0.000024  -0.000068
 1430.0    0.000025  -0.000074
 1435.0    0.000026  -0.000081
 1440.0    0.000030  -0.000086
 1445.0    0.000032  -0.000093
 1450.0    0.000034  -0.000100
 1455.0    0.000036  -0.000108
 1460.0    0.000039  -0.000116
 1465.0    0.000041  -0.000125
 1470.0    0.000044  -0.000134
 1475.0    0.000047  -0.000143
 1480.0    0.000051  -0.000153
 1485.0    0.000054  -0.000164
 1490.0    0.000058  -0.000175
 1495.0    0.000062  -0.000187
 1500.0    0.000066  -0.000199
 1505.0    0.000071  -0.000211
 1510.0    0.000075  -0.000225
 1515.0    0.000080  -0.000239
 1520.0    0.000085  -0.000253
 1525.0    0.000091  -0.000269
 1530.0    0.000097  -0.000285
 1535.0    0.000103  -0.000301
 1540.0    0.000109  -0.000319
 1545.0    0.000116  -0.000337
 1550.0    0.000124  -0.000355
 1555.0    0.000131  -0.000375
 1560.0    0.000140  -0.000395
 1565.0    0.000148  -0.000416
 1570.0    0.000157  -0.000438
 1575.0    0.000167  -0.000460
 1580.0    0.000177  -0.000484
 1585.0    0.000187  -0.000508
 1590.0    0.000198  -0.000533
 1595.0    0.000210  -0.000559
 1600.0    0.000222  -0.000585
 1605.0    0.000235  -0.000613
 1610.0    0.000248  -0.000641
 1615.0    0.000262  -0.000671
 1620.0    0.000277  -0.000701
 1625.0    0.000293  -0.000732
 1630.0    0.000309  -0.000764
 1635.0    0.000326  -0.000797
 1640.0    0.000343  -0.000830
 1645.0    0.000362  -0.000865
 1650.0    0.000381  -0.000901
 1655.0    0.000401  -0.000937
 1660.0    0.000422  -0.000975
 1665.0    0.000443  -0.001013
 1670.0    0.000466  -0.001052
 1675.0    0.000490  -0.001092
 1680.0    0.000514  -0.001134
 1685.0    0.000540  -0.001176
 1690.0    0.000566  -0.001218
 1695.0    0.000594  -0.001262
 1700.0    0.000623  -0.001307
 1705.0    0.000652  -0.001353
 1710.0    0.000683  -0.001399
 1715.0    0.000715  -0.001447
 1720.0    0.000748  -0.001495
 1725.0    0.000783  -0.001544
 1730.0    0.000818  -0.001594
 1735.0    0.000855  -0.001645
 1740.0    0.000893  -0.001696
 1745.0    0.000932  -0.001749
 1750.0    0.000973  -0.001802
 1755.0    0.001015  -0.001856
 1760.0    0.001058  -0.001910
 1765.0    0.001103  -0.001966
 1770.0    0.001149  -0.002022
 1775.0    0.001196  -0.002079
 1780.0    0.001245  -0.002136
 1785.0    0.001295  -0.002194
 1790.0    0.001347  -0.002253
 1795.0    0.001401  -0.002312
 1800.0    0.001455  -0.002372
 1805.0    0.001512  -0.002432
 1810.0    0.001570  -0.002493
 1815.0    0.001629  -0.002554
 1820.0    0.001690  -0.002616
 1825.0    0.001753  -0.002678
 1830.0    0.001818  -0.002740
 1835.0    0.001883  -0.002803
 1840.0    0.001951  -0.002866
 1845.0    0.002020  -0.002929
 1850.0    0.002091  -0.002993
 1855.0    0.002164  -0.003056
 1860.0    0.002238  -0.003120
 1865.0    0.002314  -0.003184
 1870.0    0.002391  -0.003248
 1875.0    0.002470  -0.003312
 1880.0    0.002551  -0.003376
 1885.0    0.002634  -0.003440
 1890.0    0.002718  -0.003503
 1895.0    0.002804  -0.003567
 1900.0    0.002891  -0.003625
 1905.0    0.002981  -0.003693
 1910.0    0.003072  -0.003756
 1915.0    0.003164  -0.003819
 1920.0    0.003258  -0.003881
 1925.0    0.003354  -0.003943
 1930.0    0.003452  -0.004004
 1935.0    0.003551  -0.004065
 1940.0    0.003651  -0.004125
 1945.0    0.003754  -0.004185
 1950.0    0.003857  -0.004243
 1955.0    0.003963  -0.004302
 1960.0    0.004070  -0.004359
 1965.0    0.004178  -0.004416
 1970.0    0.004288  -0.004472
 1975.0    0.004399  -0.004527
 1980.0    0.004512  -0.004581
 1985.0    0.004626  -0.004635
 1990.0    0.004741  -0.004687
 1995.0    0.004858  -0.004738
 2000.0    0.004976  -0.004788
 2005.0    0.005097  -0.004843
