   W         M2-(pi0_p)
 (MeV)      Re         Im
 1080.0    0.004162   0.000103
 1085.0    0.007513   0.000147
 1090.0    0.011094   0.000160
 1095.0    0.014907   0.000140
 1100.0    0.018955   0.000084
 1105.0    0.023241  -0.000011
 1110.0    0.027770  -0.000144
 1115.0    0.032544  -0.000318
 1120.0    0.037568  -0.000532
 1125.0    0.042848  -0.000786
 1130.0    0.048386  -0.001079
 1135.0    0.054190  -0.001411
 1140.0    0.060265  -0.001778
 1145.0    0.066617  -0.002179
 1150.0    0.073253  -0.002609
 1155.0    0.080179  -0.003066
 1160.0    0.087404  -0.003545
 1165.0    0.094934  -0.004040
 1170.0    0.102779  -0.004546
 1175.0    0.110947  -0.005057
 1180.0    0.119447  -0.005564
 1185.0    0.128289  -0.006061
 1190.0    0.137482  -0.006540
 1195.0    0.147037  -0.006990
 1200.0    0.156966  -0.007403
 1205.0    0.167279  -0.007768
 1210.0    0.177989  -0.008074
 1215.0    0.189106  -0.008306
 1220.0    0.200645  -0.008451
 1225.0    0.212618  -0.008494
 1230.0    0.225041  -0.008419
 1235.0    0.237929  -0.008211
 1240.0    0.251298  -0.007851
 1245.0    0.265165  -0.007320
 1250.0    0.279549  -0.006597
 1255.0    0.294468  -0.005661
 1260.0    0.309944  -0.004488
 1265.0    0.325994  -0.003054
 1270.0    0.342660  -0.001318
 1275.0    0.359939   0.000730
 1280.0    0.377880   0.003145
 1285.0    0.396501   0.005952
 1290.0    0.415838   0.009203
 1295.0    0.435921   0.012941
 1300.0    0.456787   0.017222
 1305.0    0.478468   0.022112
 1310.0    0.501009   0.027678
 1315.0    0.524445   0.034000
 1320.0    0.548814   0.041171
 1325.0    0.574145   0.049290
 1330.0    0.600483   0.058470
 1335.0    0.627846   0.068834
 1340.0    0.656251   0.080513
 1345.0    0.685706   0.093646
 1350.0    0.716180   0.108372
 1355.0    0.747731   0.124852
 1360.0    0.780265   0.143225
 1365.0    0.813768   0.163651
 1370.0    0.848199   0.186293
 1375.0    0.883511   0.211325
 1380.0    0.919649   0.238934
 1385.0    0.956561   0.269331
 1390.0    0.994149   0.302742
 1395.0    1.032358   0.339445
 1400.0    1.071066   0.379741
 1405.0    1.110132   0.423975
 1410.0    1.149372   0.472549
 1415.0    1.188538   0.525913
 1420.0    1.227304   0.584573
 1425.0    1.265235   0.649093
 1430.0    1.301757   0.720087
 1435.0    1.336126   0.798222
 1440.0    1.367324   0.884116
 1445.0    1.394142   0.978449
 1450.0    1.414971   1.081741
 1455.0    1.427841   1.194329
 1460.0    1.430351   1.316207
 1465.0    1.419702   1.446833
 1470.0    1.392764   1.584890
 1475.0    1.346268   1.728035
 1480.0    1.277154   1.872659
 1485.0    1.183105   2.013774
 1490.0    1.063165   2.145139
 1495.0    0.918443   2.259739
 1500.0    0.752543   2.350624
 1505.0    0.571583   2.411995
 1510.0    0.383648   2.440396
 1515.0    0.197635   2.435309
 1520.0    0.021941   2.399322
 1525.0   -0.136766   2.337474
 1530.0   -0.274195   2.256235
 1535.0   -0.388529   2.162396
 1540.0   -0.480069   2.062174
 1545.0   -0.550606   1.960675
 1550.0   -0.602804   1.861716
 1555.0   -0.639660   1.767884
 1560.0   -0.664113   1.680703
 1565.0   -0.678923   1.600957
 1570.0   -0.686398   1.528755
 1575.0   -0.688531   1.463886
 1580.0   -0.686926   1.405883
 1585.0   -0.682858   1.354131
 1590.0   -0.677322   1.307962
 1595.0   -0.671077   1.266695
 1600.0   -0.664686   1.229658
 1605.0   -0.658555   1.196213
 1610.0   -0.652971   1.165785
 1615.0   -0.648109   1.137827
 1620.0   -0.644065   1.111856
 1625.0   -0.640867   1.087437
 1630.0   -0.638493   1.064185
 1635.0   -0.636873   1.041762
 1640.0   -0.635903   1.019880
 1645.0   -0.635455   0.998299
 1650.0   -0.635352   0.976836
 1655.0   -0.635500   0.955311
 1660.0   -0.635634   0.933644
 1665.0   -0.635570   0.911777
 1670.0   -0.635423   0.889697
 1675.0   -0.634676   0.867403
 1680.0   -0.633329   0.844958
 1685.0   -0.631254   0.822438
 1690.0   -0.628347   0.799951
 1695.0   -0.624528   0.777616
 1700.0   -0.619744   0.755563
 1705.0   -0.613961   0.733929
 1710.0   -0.607166   0.712848
 1715.0   -0.599364   0.692436
 1720.0   -0.591245   0.672903
 1725.0   -0.580834   0.654143
 1730.0   -0.570186   0.636475
 1735.0   -0.558685   0.619906
 1740.0   -0.546401   0.604521
 1745.0   -0.533413   0.590392
 1750.0   -0.519824   0.577578
 1755.0   -0.505740   0.566117
 1760.0   -0.491316   0.556049
 1765.0   -0.476690   0.547384
 1770.0   -0.462009   0.540080
 1775.0   -0.447427   0.534109
 1780.0   -0.433080   0.529409
 1785.0   -0.419088   0.525902
 1790.0   -0.407124   0.523890
 1795.0   -0.392545   0.522110
 1800.0   -0.380131   0.521641
 1805.0   -0.368341   0.521996
 1810.0   -0.357215   0.523107
 1815.0   -0.346765   0.524892
 1820.0   -0.336992   0.527273
 1825.0   -0.327905   0.530194
 1830.0   -0.319505   0.533596
 1835.0   -0.311790   0.537425
 1840.0   -0.304754   0.541632
 1845.0   -0.298407   0.546162
 1850.0   -0.292731   0.550990
 1855.0   -0.287726   0.556044
 1860.0   -0.283378   0.561288
 1865.0   -0.279685   0.566678
 1870.0   -0.276637   0.572180
 1875.0   -0.274204   0.577739
 1880.0   -0.272375   0.583323
 1885.0   -0.271127   0.588897
 1890.0   -0.270439   0.594428
