   W         M4+(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.000001   0.000000
 1085.0   -0.000002   0.000000
 1090.0   -0.000003   0.000001
 1095.0   -0.000006   0.000001
 1100.0   -0.000009   0.000002
 1105.0   -0.000013   0.000003
 1110.0   -0.000017   0.000004
 1115.0   -0.000023   0.000005
 1120.0   -0.000029   0.000007
 1125.0   -0.000036   0.000010
 1130.0   -0.000044   0.000012
 1135.0   -0.000052   0.000016
 1140.0   -0.000062   0.000020
 1145.0   -0.000073   0.000024
 1150.0   -0.000084   0.000030
 1155.0   -0.000097   0.000036
 1160.0   -0.000110   0.000043
 1165.0   -0.000125   0.000052
 1170.0   -0.000141   0.000061
 1175.0   -0.000158   0.000072
 1180.0   -0.000176   0.000085
 1185.0   -0.000196   0.000099
 1190.0   -0.000217   0.000114
 1195.0   -0.000239   0.000132
 1200.0   -0.000263   0.000152
 1205.0   -0.000288   0.000174
 1210.0   -0.000315   0.000198
 1215.0   -0.000344   0.000225
 1220.0   -0.000375   0.000254
 1225.0   -0.000407   0.000287
 1230.0   -0.000442   0.000322
 1235.0   -0.000479   0.000361
 1240.0   -0.000517   0.000404
 1245.0   -0.000559   0.000450
 1250.0   -0.000602   0.000499
 1255.0   -0.000649   0.000553
 1260.0   -0.000698   0.000612
 1265.0   -0.000748   0.000675
 1270.0   -0.000807   0.000741
 1275.0   -0.000863   0.000814
 1280.0   -0.000926   0.000891
 1285.0   -0.000991   0.000973
 1290.0   -0.001060   0.001062
 1295.0   -0.001133   0.001155
 1300.0   -0.001211   0.001254
 1305.0   -0.001290   0.001361
 1310.0   -0.001377   0.001472
 1315.0   -0.001467   0.001590
 1320.0   -0.001564   0.001714
 1325.0   -0.001662   0.001846
 1330.0   -0.001769   0.001984
 1335.0   -0.001881   0.002128
 1340.0   -0.001998   0.002280
 1345.0   -0.002122   0.002439
 1350.0   -0.002246   0.002603
 1355.0   -0.002388   0.002779
 1360.0   -0.002531   0.002960
 1365.0   -0.002681   0.003149
 1370.0   -0.002839   0.003345
 1375.0   -0.003004   0.003549
 1380.0   -0.003177   0.003760
 1385.0   -0.003357   0.003980
 1390.0   -0.003547   0.004205
 1395.0   -0.003745   0.004440
 1400.0   -0.003951   0.004682
 1405.0   -0.004166   0.004931
 1410.0   -0.004391   0.005188
 1415.0   -0.004625   0.005453
 1420.0   -0.004869   0.005725
 1425.0   -0.005123   0.006004
 1430.0   -0.005387   0.006291
 1435.0   -0.005653   0.006586
 1440.0   -0.005948   0.006884
 1445.0   -0.006244   0.007191
 1450.0   -0.006551   0.007504
 1455.0   -0.006869   0.007824
 1460.0   -0.007199   0.008150
 1465.0   -0.007540   0.008482
 1470.0   -0.007894   0.008820
 1475.0   -0.008259   0.009163
 1480.0   -0.008637   0.009512
 1485.0   -0.009026   0.009865
 1490.0   -0.009429   0.010223
 1495.0   -0.009843   0.010585
 1500.0   -0.010270   0.010951
 1505.0   -0.010717   0.011322
 1510.0   -0.011166   0.011694
 1515.0   -0.011632   0.012070
 1520.0   -0.012111   0.012449
 1525.0   -0.012604   0.012830
 1530.0   -0.013110   0.013213
 1535.0   -0.013629   0.013598
 1540.0   -0.014161   0.013983
 1545.0   -0.014707   0.014369
 1550.0   -0.015266   0.014756
 1555.0   -0.015838   0.015142
 1560.0   -0.016424   0.015527
 1565.0   -0.017023   0.015912
 1570.0   -0.017635   0.016295
 1575.0   -0.018260   0.016676
 1580.0   -0.018898   0.017055
 1585.0   -0.019549   0.017431
 1590.0   -0.020214   0.017803
 1595.0   -0.020890   0.018172
 1600.0   -0.021579   0.018536
 1605.0   -0.022283   0.018897
 1610.0   -0.022997   0.019251
 1615.0   -0.023723   0.019600
 1620.0   -0.024461   0.019943
 1625.0   -0.025211   0.020279
 1630.0   -0.025973   0.020608
 1635.0   -0.026746   0.020929
 1640.0   -0.027530   0.021243
 1645.0   -0.028325   0.021548
 1650.0   -0.029131   0.021844
 1655.0   -0.029947   0.022130
 1660.0   -0.030773   0.022407
 1665.0   -0.031609   0.022673
 1670.0   -0.032454   0.022929
 1675.0   -0.033309   0.023174
 1680.0   -0.034172   0.023407
 1685.0   -0.035043   0.023627
 1690.0   -0.035923   0.023836
 1695.0   -0.036811   0.024031
 1700.0   -0.037706   0.024213
 1705.0   -0.038608   0.024382
 1710.0   -0.039517   0.024537
 1715.0   -0.040431   0.024677
 1720.0   -0.041352   0.024802
 1725.0   -0.042278   0.024912
 1730.0   -0.043210   0.025006
 1735.0   -0.044145   0.025085
 1740.0   -0.045085   0.025148
 1745.0   -0.046029   0.025193
 1750.0   -0.046977   0.025222
 1755.0   -0.047925   0.025236
 1760.0   -0.048878   0.025230
 1765.0   -0.049832   0.025207
 1770.0   -0.050787   0.025166
 1775.0   -0.051744   0.025107
 1780.0   -0.052701   0.025029
 1785.0   -0.053658   0.024933
 1790.0   -0.054615   0.024819
 1795.0   -0.055570   0.024685
 1800.0   -0.056524   0.024531
 1805.0   -0.057477   0.024359
 1810.0   -0.058427   0.024167
 1815.0   -0.059373   0.023955
 1820.0   -0.060317   0.023724
 1825.0   -0.061257   0.023472
 1830.0   -0.062192   0.023200
 1835.0   -0.063123   0.022909
 1840.0   -0.064047   0.022597
 1845.0   -0.064967   0.022265
 1850.0   -0.065879   0.021912
 1855.0   -0.066785   0.021540
 1860.0   -0.067684   0.021147
 1865.0   -0.068575   0.020733
 1870.0   -0.069457   0.020299
 1875.0   -0.070331   0.019845
 1880.0   -0.071195   0.019370
 1885.0   -0.072050   0.018876
 1890.0   -0.072894   0.018360
 1895.0   -0.073728   0.017826
 1900.0   -0.074550   0.017270
 1905.0   -0.075361   0.016695
 1910.0   -0.076159   0.016100
 1915.0   -0.076946   0.015486
 1920.0   -0.077719   0.014852
 1925.0   -0.078479   0.014198
 1930.0   -0.079224   0.013525
 1935.0   -0.079956   0.012834
 1940.0   -0.080673   0.012123
 1945.0   -0.081375   0.011394
 1950.0   -0.082061   0.010646
 1955.0   -0.082731   0.009880
 1960.0   -0.083385   0.009096
 1965.0   -0.084022   0.008295
 1970.0   -0.084642   0.007476
 1975.0   -0.085245   0.006640
 1980.0   -0.085829   0.005787
 1985.0   -0.086396   0.004917
 1990.0   -0.086944   0.004032
 1995.0   -0.087474   0.003130
 2000.0   -0.087979   0.002213
 2005.0   -0.088472   0.001280
