   W         E3-(pi0_p)
 (MeV)      Re         Im
 1080.0    0.000097  -0.000012
 1085.0    0.000239  -0.000030
 1090.0    0.000436  -0.000055
 1095.0    0.000690  -0.000089
 1100.0    0.001002  -0.000132
 1105.0    0.001378  -0.000184
 1110.0    0.001820  -0.000246
 1115.0    0.002332  -0.000319
 1120.0    0.002918  -0.000405
 1125.0    0.003582  -0.000503
 1130.0    0.004327  -0.000614
 1135.0    0.005159  -0.000739
 1140.0    0.006080  -0.000879
 1145.0    0.007095  -0.001034
 1150.0    0.008208  -0.001204
 1155.0    0.009422  -0.001391
 1160.0    0.010743  -0.001595
 1165.0    0.012173  -0.001816
 1170.0    0.013716  -0.002054
 1175.0    0.015377  -0.002310
 1180.0    0.017160  -0.002584
 1185.0    0.019067  -0.002876
 1190.0    0.021104  -0.003185
 1195.0    0.023274  -0.003512
 1200.0    0.025580  -0.003857
 1205.0    0.028027  -0.004219
 1210.0    0.030618  -0.004598
 1215.0    0.033357  -0.004993
 1220.0    0.036248  -0.005403
 1225.0    0.039293  -0.005827
 1230.0    0.042498  -0.006266
 1235.0    0.045866  -0.006717
 1240.0    0.049400  -0.007179
 1245.0    0.053103  -0.007651
 1250.0    0.056980  -0.008132
 1255.0    0.061034  -0.008619
 1260.0    0.065268  -0.009112
 1265.0    0.069683  -0.009610
 1270.0    0.074295  -0.010104
 1275.0    0.079089  -0.010602
 1280.0    0.084083  -0.011093
 1285.0    0.089272  -0.011580
 1290.0    0.094665  -0.012057
 1295.0    0.100263  -0.012523
 1300.0    0.106070  -0.012973
 1305.0    0.112089  -0.013404
 1310.0    0.118326  -0.013813
 1315.0    0.124783  -0.014195
 1320.0    0.131465  -0.014545
 1325.0    0.138373  -0.014861
 1330.0    0.145515  -0.015135
 1335.0    0.152893  -0.015364
 1340.0    0.160512  -0.015540
 1345.0    0.168375  -0.015658
 1350.0    0.176481  -0.015716
 1355.0    0.184853  -0.015694
 1360.0    0.193479  -0.015596
 1365.0    0.202368  -0.015412
 1370.0    0.211526  -0.015133
 1375.0    0.220958  -0.014751
 1380.0    0.230672  -0.014256
 1385.0    0.240673  -0.013637
 1390.0    0.250963  -0.012889
 1395.0    0.261557  -0.011995
 1400.0    0.272458  -0.010947
 1405.0    0.283675  -0.009732
 1410.0    0.295215  -0.008337
 1415.0    0.307088  -0.006747
 1420.0    0.319303  -0.004949
 1425.0    0.331871  -0.002926
 1430.0    0.344801  -0.000661
 1435.0    0.358109   0.001868
 1440.0    0.371796   0.004673
 1445.0    0.385886   0.007785
 1450.0    0.400389   0.011223
 1455.0    0.415320   0.015015
 1460.0    0.430693   0.019189
 1465.0    0.446526   0.023775
 1470.0    0.462835   0.028810
 1475.0    0.479639   0.034329
 1480.0    0.496956   0.040376
 1485.0    0.514807   0.046996
 1490.0    0.533213   0.054239
 1495.0    0.552195   0.062163
 1500.0    0.571774   0.070831
 1505.0    0.591973   0.080312
 1510.0    0.612818   0.090686
 1515.0    0.634327   0.102040
 1520.0    0.656523   0.114472
 1525.0    0.679426   0.128092
 1530.0    0.703053   0.143024
 1535.0    0.727418   0.159409
 1540.0    0.752529   0.177403
 1545.0    0.778388   0.197184
 1550.0    0.804986   0.218953
 1555.0    0.832299   0.242936
 1560.0    0.860286   0.269389
 1565.0    0.888889   0.298597
 1570.0    0.918005   0.330888
 1575.0    0.947501   0.366624
 1580.0    0.977186   0.406208
 1585.0    1.006806   0.450095
 1590.0    1.036014   0.498776
 1595.0    1.064354   0.552780
 1600.0    1.091231   0.612680
 1605.0    1.115874   0.679050
 1610.0    1.137298   0.752456
 1615.0    1.154259   0.833405
 1620.0    1.165212   0.922270
 1625.0    1.168277   1.019204
 1630.0    1.161223   1.123993
 1635.0    1.141502   1.235893
 1640.0    1.106328   1.353419
 1645.0    1.052945   1.474139
 1650.0    0.978820   1.594498
 1655.0    0.882258   1.709768
 1660.0    0.762817   1.814061
 1665.0    0.622169   1.901565
 1670.0    0.463876   1.965682
 1675.0    0.293929   2.001752
 1680.0    0.119889   2.007019
 1685.0   -0.050063   1.981481
 1690.0   -0.208304   1.927900
 1695.0   -0.348846   1.851246
 1700.0   -0.467934   1.757747
 1705.0   -0.564129   1.653885
 1710.0   -0.637963   1.545558
 1715.0   -0.691366   1.437588
 1720.0   -0.727069   1.333538
 1725.0   -0.748099   1.235774
 1730.0   -0.757418   1.145649
 1735.0   -0.757712   1.063730
 1740.0   -0.751293   0.990050
 1745.0   -0.740071   0.924265
 1750.0   -0.725582   0.865825
 1755.0   -0.709033   0.814066
 1760.0   -0.691341   0.768287
 1765.0   -0.673205   0.727794
 1770.0   -0.655125   0.691932
 1775.0   -0.637469   0.660088
 1780.0   -0.620484   0.631711
 1785.0   -0.604330   0.606304
 1790.0   -0.589101   0.583431
 1795.0   -0.574837   0.562704
 1800.0   -0.561543   0.543793
 1805.0   -0.549184   0.526408
 1810.0   -0.537682   0.510284
 1815.0   -0.527126   0.495257
 1820.0   -0.517271   0.481104
 1825.0   -0.508119   0.467696
 1830.0   -0.499589   0.454911
 1835.0   -0.491607   0.442650
 1840.0   -0.484103   0.430830
 1845.0   -0.477010   0.419391
 1850.0   -0.470271   0.408287
 1855.0   -0.463826   0.397477
 1860.0   -0.457631   0.386938
 1865.0   -0.451638   0.376642
 1870.0   -0.445808   0.366572
 1875.0   -0.440117   0.356729
 1880.0   -0.434535   0.347099
 1885.0   -0.429038   0.337679
 1890.0   -0.423610   0.328466
 1895.0   -0.418235   0.319459
 1900.0   -0.412901   0.310654
 1905.0   -0.407599   0.302051
 1910.0   -0.402322   0.293650
 1915.0   -0.397063   0.285448
 1920.0   -0.391819   0.277445
 1925.0   -0.386586   0.269639
 1930.0   -0.381360   0.262027
 1935.0   -0.376142   0.254610
 1940.0   -0.370927   0.247383
 1945.0   -0.365716   0.240346
 1950.0   -0.360508   0.233497
 1955.0   -0.355301   0.226833
 1960.0   -0.350095   0.220353
 1965.0   -0.344890   0.214056
 1970.0   -0.339686   0.207940
 1975.0   -0.334483   0.202004
 1980.0   -0.329281   0.196247
 1985.0   -0.324081   0.190670
 1990.0   -0.318884   0.185271
 1995.0   -0.313692   0.180050
 2000.0   -0.308510   0.175005
 2005.0   -0.303332   0.170139
