   W         E2-(pi0_p)
 1445.0   -0.037654   1.540769
 1450.0   -0.051491   1.686501
 1455.0   -0.080784   1.848098
 1460.0   -0.130548   2.025225
 1465.0   -0.206551   2.216324
 1470.0   -0.315132   2.418119
 1475.0   -0.462737   2.625115
 1480.0   -0.655132   2.829141
 1485.0   -0.896249   3.019213
 1490.0   -1.186860   3.181911
 1495.0   -1.523184   3.302514
 1500.0   -1.896082   3.366890
 1505.0   -2.291222   3.363881
 1510.0   -2.690455   3.287602
 1515.0   -3.074394   3.138749
 1520.0   -3.425270   2.924552
 1525.0   -3.729431   2.657225
 1530.0   -3.978578   2.351677
 1535.0   -4.169769   2.023106
 1540.0   -4.304509   1.685147
 1545.0   -4.387314   1.348828
 1550.0   -4.424359   1.022309
 1555.0   -4.422348   0.711090
 1560.0   -4.387725   0.418509
 1565.0   -4.326494   0.146175
 1570.0   -4.243336  -0.105311
 1575.0   -4.142596  -0.336156
 1580.0   -4.027659  -0.546944
 1585.0   -3.901255  -0.738507
 1590.0   -3.765585  -0.911697
 1595.0   -3.622424  -1.067345
 1600.0   -3.473221  -1.206236
 1605.0   -3.319194  -1.329024
 1610.0   -3.161410  -1.436287
 1615.0   -3.000827  -1.528520
 1620.0   -2.838341  -1.606130
 1625.0   -2.674822  -1.669508
 1630.0   -2.511092  -1.718973
 1635.0   -2.347978  -1.754844
 1640.0   -2.186333  -1.777473
 1645.0   -2.027000  -1.787236
 1650.0   -1.870789  -1.784500
 1655.0   -1.718739  -1.770103
 1660.0   -1.571575  -1.744412
 1665.0   -1.430150  -1.708219
 1670.0   -1.294793  -1.662687
 1675.0   -1.166652  -1.608447
 1680.0   -1.046029  -1.546706
 1685.0   -0.933301  -1.478578
 1690.0   -0.828705  -1.405223
 1695.0   -0.732317  -1.327774
 1700.0   -0.644071  -1.247311
 1705.0   -0.563777  -1.164822
 1710.0   -0.491148  -1.081194
 1715.0   -0.425817  -0.997020
 1720.0   -0.363213  -0.913413
 1725.0   -0.315504  -0.829615
 1730.0   -0.269756  -0.747103
 1735.0   -0.229833  -0.665646
 1740.0   -0.195480  -0.585413
 1745.0   -0.166491  -0.506577
 1750.0   -0.142691  -0.429337
 1755.0   -0.123920  -0.353966
 1760.0   -0.109975  -0.280797
 1765.0   -0.100606  -0.210290
 1770.0   -0.095540  -0.142708
 1775.0   -0.094380  -0.078524
 1780.0   -0.096701  -0.018053
 1785.0   -0.102038   0.038464
 1790.0   -0.112948   0.092449
 1795.0   -0.119899   0.139141
 1800.0   -0.131538   0.183277
 1805.0   -0.144481   0.223435
 1810.0   -0.158329   0.259640
 1815.0   -0.172814   0.292120
 1820.0   -0.187717   0.321131
 1825.0   -0.202804   0.346830
 1830.0   -0.217900   0.369429
 1835.0   -0.232856   0.389129
 1840.0   -0.247549   0.406145
 1845.0   -0.261882   0.420666
 1850.0   -0.275700   0.432736
 1855.0   -0.288993   0.442706
 1860.0   -0.301688   0.450703
 1865.0   -0.313677   0.456824
 1870.0   -0.324881   0.461176
 1875.0   -0.335349   0.464033
 1880.0   -0.344993   0.465471
 1885.0   -0.353789   0.465630
 1890.0   -0.361714   0.464640
 1895.0   -0.368756   0.462625
 1900.0   -0.374907   0.459706
 1905.0   -0.380178   0.455990
 1910.0   -0.384536   0.451601
 1915.0   -0.388030   0.446623
 1920.0   -0.390659   0.441160
 1925.0   -0.392441   0.435303
 1930.0   -0.393397   0.429136
 1935.0   -0.393551   0.422743
 1940.0   -0.392930   0.416199
 1945.0   -0.391564   0.409578
 1950.0   -0.389485   0.402948
 1955.0   -0.386730   0.396374
 1960.0   -0.383335   0.389916
 1965.0   -0.379338   0.383639
 1970.0   -0.374791   0.377581
 1975.0   -0.369753   0.371772
 1980.0   -0.361910   0.368350
 1985.0   -0.358290   0.361230
 1990.0   -0.352008   0.356520
 1995.0   -0.345423   0.352233
 2000.0   -0.338602   0.348391
 2005.0   -0.331675   0.345014
