   W         E2-(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.026319  -0.004287
 1085.0   -0.044475  -0.006689
 1090.0   -0.061551  -0.008482
 1095.0   -0.077602  -0.009710
 1100.0   -0.092677  -0.010407
 1105.0   -0.106821  -0.010608
 1110.0   -0.120076  -0.010342
 1115.0   -0.132482  -0.009636
 1120.0   -0.144076  -0.008514
 1125.0   -0.154893  -0.006999
 1130.0   -0.164964  -0.005110
 1135.0   -0.174322  -0.002865
 1140.0   -0.182995  -0.000279
 1145.0   -0.191012   0.002632
 1150.0   -0.198400   0.005857
 1155.0   -0.205185   0.009381
 1160.0   -0.211392   0.013196
 1165.0   -0.217044   0.017291
 1170.0   -0.222164   0.021657
 1175.0   -0.226776   0.026286
 1180.0   -0.230900   0.031170
 1185.0   -0.234556   0.036302
 1190.0   -0.237765   0.041677
 1195.0   -0.240546   0.047287
 1200.0   -0.242916   0.053128
 1205.0   -0.244893   0.059193
 1210.0   -0.246493   0.065478
 1215.0   -0.247715   0.071961
 1220.0   -0.248573   0.078635
 1225.0   -0.249077   0.085502
 1230.0   -0.249241   0.092565
 1235.0   -0.249077   0.099830
 1240.0   -0.248597   0.107304
 1245.0   -0.247812   0.115002
 1250.0   -0.246732   0.122939
 1255.0   -0.245368   0.131137
 1260.0   -0.243731   0.139622
 1265.0   -0.241827   0.148432
 1270.0   -0.239685   0.157593
 1275.0   -0.237287   0.167177
 1280.0   -0.234674   0.177221
 1285.0   -0.231843   0.187809
 1290.0   -0.228827   0.199011
 1295.0   -0.225635   0.210928
 1300.0   -0.222302   0.223662
 1305.0   -0.218866   0.237323
 1310.0   -0.215361   0.252043
 1315.0   -0.211841   0.267947
 1320.0   -0.208362   0.285161
 1325.0   -0.204990   0.303800
 1330.0   -0.201780   0.323961
 1335.0   -0.198790   0.345704
 1340.0   -0.196051   0.369053
 1345.0   -0.193568   0.393992
 1350.0   -0.191300   0.420460
 1355.0   -0.189122   0.448391
 1360.0   -0.186898   0.477711
 1365.0   -0.184408   0.508393
 1370.0   -0.181400   0.540467
 1375.0   -0.177598   0.574050
 1380.0   -0.172726   0.609367
 1385.0   -0.166528   0.646755
 1390.0   -0.158803   0.686672
 1395.0   -0.149404   0.729700
 1400.0   -0.138286   0.776543
 1405.0   -0.125517   0.828019
 1410.0   -0.111302   0.885073
 1415.0   -0.096024   0.948758
 1420.0   -0.080274   1.020242
 1425.0   -0.064911   1.100788
 1430.0   -0.051119   1.191745
 1435.0   -0.040496   1.294505
 1440.0   -0.035117   1.410429
