   W                 M1+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.036    0.198   -0.050    0.223
1493.809    0.088    0.210   -0.026    0.181
1500.077    0.007    0.163   -0.023    0.154
1506.319    0.165    0.148   -0.133    0.147
1512.535    0.236    0.202   -0.163    0.158
1518.726    0.257    0.173   -0.045    0.163
1524.891    0.240    0.221   -0.087    0.155
1531.032    0.346    0.211   -0.141    0.164
1537.148    0.353    0.177   -0.189    0.144
1543.240    0.396    0.132   -0.220    0.124
1549.308    0.452    0.186   -0.125    0.140
1555.352    0.501    0.139   -0.125    0.128
1561.373    0.380    0.202   -0.230    0.168
1567.371    0.429    0.164   -0.210    0.156
1573.346    0.432    0.180   -0.205    0.177
1579.298    0.347    0.150   -0.221    0.189
1585.228    0.474    0.154   -0.183    0.121
1591.136    0.725    0.128   -0.252    0.138
1597.022    0.582    0.119   -0.259    0.112
1602.886    0.729    0.173   -0.250    0.254
1608.729    0.700    0.203   -0.292    0.170
1614.551    0.728    0.121   -0.238    0.145
1620.352    0.655    0.155   -0.054    0.124
1626.132    0.792    0.252   -0.186    0.202
1631.892    0.938    0.192   -0.268    0.198
1637.631    0.729    0.139   -0.134    0.145
1643.351    0.978    0.183   -0.151    0.314
1649.050    0.840    0.183   -0.122    0.212
1654.730    0.602    0.195    0.047    0.168
1660.391    1.044    0.265   -0.091    0.318
1666.032    0.764    0.343    0.079    0.227
1671.655    0.430    0.171    0.203    0.488
1677.258    1.181    0.185    0.080    0.155
1682.843    0.863    0.275    0.102    0.314
1688.409    0.799    0.143   -0.086    0.236
1693.957    0.973    0.370   -0.328    0.167
1699.487    0.697    0.808    0.546    0.502
1704.999    0.902    0.459    0.177    0.541
1710.493    1.086    0.390    0.309    0.151
1715.970    0.721    0.187    0.563    0.429
1721.429    0.790    0.295    0.553    0.359
1726.871    0.597    0.486    0.312    0.228
1732.296    1.361    0.180    0.266    0.042
1737.704    0.952    0.230    0.380    0.313
1743.095    0.993    0.240   -0.309    0.235
1748.469    1.387    0.134    0.378    0.101
1753.827    1.121    0.121    0.509    0.320
1759.169    1.326    0.081    0.446    0.047
1764.495    1.102    0.317    0.510    0.298
1769.804    0.939    0.721    0.490    0.324
1775.098    1.372    0.100    0.418    0.243
1780.376    1.278    0.254    0.295    0.241
1785.638    1.383    0.094    0.039    0.140
1790.885    1.254    0.490    0.269    0.510
1796.116    0.467    0.189    0.639    0.476
1801.333    1.504    0.066    0.380    0.130
1806.534    1.071    0.174    0.651    0.128
1811.720    0.792    0.235    0.638    0.219
1816.892    1.070    0.121    0.573    0.166
1822.049    1.153    0.306    0.336    0.219
1827.191    1.113    0.137    0.865    0.039
1832.319    1.011    0.277    0.286    0.258
1837.432    1.055    0.479    0.690    0.304
1842.532    0.960    0.234    0.999    0.182
1847.617    1.143    0.099    0.912    0.095
1852.688    1.181    0.270    0.768    0.195
1857.746    0.946    0.133    0.144    0.121
1862.790    1.095    0.214    0.967    0.246
1867.820    1.213    0.176    0.840    0.105
1872.836    1.357    0.073    0.704    0.172
1877.840    0.901    0.229    0.963    0.083
1882.829    0.884    0.156    0.343    0.104
1887.806    0.995    0.308    0.794    0.151
1892.770    0.981    0.292    1.051    0.145
1897.721    1.262    0.155    0.762    0.572
1902.658    0.733    0.304    0.677    0.098
1907.583    1.253    0.064    0.735    0.145
1912.496    0.907    0.130    1.009    0.094
1917.395    0.791    0.233    0.815    0.154
1922.283    0.936    0.270    0.274    0.341
