   W                 M3-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.107    0.076    0.113    0.080
1493.809    0.040    0.071   -0.099    0.062
1500.077   -0.014    0.071    0.007    0.054
1506.319   -0.015    0.069    0.003    0.048
1512.535    0.006    0.059    0.010    0.042
1518.726   -0.001    0.045   -0.001    0.032
1524.891   -0.005    0.046   -0.007    0.032
1531.032   -0.002    0.045   -0.005    0.031
1537.148    0.002    0.039    0.012    0.029
1543.240    0.003    0.039   -0.007    0.028
1549.308    0.008    0.038    0.004    0.027
1555.352    0.012    0.038   -0.002    0.027
1561.373    0.003    0.039    0.004    0.027
1567.371    0.006    0.034    0.009    0.026
1573.346    0.017    0.034    0.002    0.026
1579.298    0.009    0.033    0.007    0.026
1585.228    0.009    0.032    0.005    0.028
1591.136    0.013    0.032    0.014    0.027
1597.022    0.005    0.028    0.008    0.026
1602.886    0.010    0.026    0.008    0.025
1608.729    0.014    0.026    0.012    0.026
1614.551    0.016    0.028    0.013    0.029
1620.352    0.016    0.025    0.016    0.026
1626.132    0.019    0.025    0.017    0.027
1631.892    0.026    0.023    0.032    0.026
1637.631    0.029    0.023    0.027    0.025
1643.351    0.012    0.022    0.032    0.024
1649.050    0.025    0.021    0.034    0.026
1654.730    0.017    0.020    0.041    0.021
1660.391    0.182    0.014    0.140    0.020
1666.032    0.117    0.017    0.046    0.016
1671.655   -0.000    0.019    0.055    0.022
1677.258    0.106    0.016    0.055    0.017
1682.843   -0.009    0.019    0.043    0.020
1688.409   -0.027    0.019    0.054    0.019
1693.957   -0.025    0.020    0.033    0.019
1699.487    0.113    0.010    0.064    0.017
1704.999    0.103    0.010    0.060    0.017
1710.493    0.083    0.010    0.069    0.016
1715.970    0.069    0.010    0.055    0.016
1721.429    0.064    0.009    0.034    0.017
1726.871   -0.032    0.019    0.002    0.022
1732.296   -0.046    0.018    0.016    0.022
1737.704    0.050    0.009   -0.003    0.017
1743.095    0.043    0.009    0.001    0.019
1748.469   -0.042    0.018    0.007    0.018
1753.827    0.033    0.016   -0.097    0.016
1759.169    0.032    0.010   -0.028    0.019
1764.495   -0.037    0.020   -0.014    0.019
1769.804    0.043    0.015   -0.103    0.020
1775.098    0.032    0.017   -0.112    0.023
1780.376    0.020    0.017   -0.132    0.019
1785.638    0.027    0.020   -0.144    0.019
1790.885    0.029    0.018   -0.137    0.019
1796.116   -0.038    0.011   -0.009    0.017
1801.333   -0.024    0.014   -0.154    0.013
1806.534    0.037    0.014   -0.031    0.017
1811.720    0.041    0.018   -0.140    0.020
1816.892    0.002    0.024   -0.027    0.019
1822.049   -0.039    0.015   -0.186    0.009
1827.191    0.028    0.013   -0.065    0.013
1832.319    0.016    0.018   -0.104    0.023
1837.432   -0.020    0.015   -0.037    0.016
1842.532   -0.022    0.014   -0.161    0.011
1847.617   -0.042    0.026   -0.263    0.011
1852.688    0.044    0.017   -0.143    0.017
1857.746    0.014    0.016   -0.079    0.020
1862.790   -0.024    0.011   -0.041    0.010
1867.820    0.000    0.011   -0.041    0.010
1872.836   -0.038    0.019   -0.139    0.012
1877.840   -0.019    0.019   -0.145    0.011
1882.829   -0.009    0.013   -0.069    0.015
1887.806   -0.003    0.016   -0.078    0.014
1892.770   -0.056    0.008   -0.040    0.008
1897.721   -0.024    0.016   -0.137    0.010
1902.658   -0.017    0.008   -0.080    0.011
1907.583    0.050    0.011   -0.061    0.014
1912.496   -0.004    0.007   -0.029    0.008
1917.395   -0.027    0.010   -0.130    0.010
1922.283    0.089    0.009   -0.047    0.009
