 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Oct2014
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.04*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.   
 #--------------------------------------------------------------------------
  1440.80  1437.55  1444.04  1.89317   0.167   80.41  0.8287  0.0080  0.0131
  1440.80  1437.55  1444.04  1.89317   0.233   76.51  0.7383  0.0075  0.0119
  1440.80  1437.55  1444.04  1.89317   0.300   72.54  0.6108  0.0068  0.0102
  1440.80  1437.55  1444.04  1.89317   0.367   68.49  0.4885  0.0059  0.0085
  1440.80  1437.55  1444.04  1.89317   0.433   64.32  0.4392  0.0058  0.0080
  1440.80  1437.55  1444.04  1.89317   0.500   60.00  0.4644  0.0061  0.0084
  1440.80  1437.55  1444.04  1.89317   0.567   55.48  0.5581  0.0072  0.0100
  1440.80  1437.55  1444.04  1.89317   0.633   50.70  0.7568  0.0102  0.0139
  1440.80  1437.55  1444.04  1.89317   0.700   45.57  1.1921  0.0166  0.0223
  1440.80  1437.55  1444.04  1.89317   0.767   39.94  1.6225  0.0262  0.0331
  1440.80  1437.55  1444.04  1.89317   0.833   33.56  2.0751  0.0685  0.0732
  1447.29  1444.04  1450.56  1.89638  -0.833  146.44  1.2966  0.0555  0.0578
  1447.29  1444.04  1450.56  1.89638  -0.767  140.06  1.1991  0.0303  0.0338
  1447.29  1444.04  1450.56  1.89638  -0.700  134.43  0.9303  0.0159  0.0197
  1447.29  1444.04  1450.56  1.89638  -0.633  129.30  0.7357  0.0100  0.0136
  1447.29  1444.04  1450.56  1.89638  -0.567  124.52  0.6481  0.0079  0.0113
  1447.29  1444.04  1450.56  1.89638  -0.500  120.00  0.5890  0.0069  0.0101
  1447.29  1444.04  1450.56  1.89638  -0.433  115.68  0.6092  0.0066  0.0101
  1447.29  1444.04  1450.56  1.89638  -0.367  111.51  0.6380  0.0065  0.0103
  1447.29  1444.04  1450.56  1.89638  -0.300  107.46  0.6817  0.0065  0.0107
  1447.29  1444.04  1450.56  1.89638  -0.233  103.49  0.7705  0.0068  0.0118
  1447.29  1444.04  1450.56  1.89638  -0.167   99.59  0.8295  0.0072  0.0126
  1447.29  1444.04  1450.56  1.89638  -0.100   95.74  0.8938  0.0076  0.0135
  1447.29  1444.04  1450.56  1.89638  -0.033   91.91  0.9263  0.0080  0.0141
  1447.29  1444.04  1450.56  1.89638   0.033   88.09  0.9380  0.0082  0.0143
  1447.29  1444.04  1450.56  1.89638   0.100   84.26  0.8822  0.0080  0.0136
  1447.29  1444.04  1450.56  1.89638   0.167   80.41  0.8134  0.0076  0.0127
  1447.29  1444.04  1450.56  1.89638   0.233   76.51  0.7108  0.0071  0.0114
  1447.29  1444.04  1450.56  1.89638   0.300   72.54  0.5889  0.0063  0.0097
  1447.29  1444.04  1450.56  1.89638   0.367   68.49  0.4762  0.0056  0.0082
  1447.29  1444.04  1450.56  1.89638   0.433   64.32  0.4208  0.0055  0.0076
  1447.29  1444.04  1450.56  1.89638   0.500   60.00  0.4521  0.0059  0.0082
