 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Apr2013
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.02*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.
 #--------------------------------------------------------------------------
   226.98   224.83   229.13  1.14293  -0.167   99.59  5.0248  0.0220  0.1029
   226.98   224.83   229.13  1.14293  -0.100   95.74  5.0115  0.0219  0.1026
   226.98   224.83   229.13  1.14293  -0.033   91.91  5.0530  0.0219  0.1034
   226.98   224.83   229.13  1.14293   0.033   88.09  4.9605  0.0216  0.1015
   226.98   224.83   229.13  1.14293   0.100   84.26  4.8730  0.0213  0.0998
   226.98   224.83   229.13  1.14293   0.167   80.41  4.8380  0.0213  0.0991
   226.98   224.83   229.13  1.14293   0.233   76.51  4.7247  0.0211  0.0968
   226.98   224.83   229.13  1.14293   0.300   72.54  4.5841  0.0208  0.0940
   226.98   224.83   229.13  1.14293   0.367   68.49  4.4786  0.0208  0.0920
   226.98   224.83   229.13  1.14293   0.433   64.32  4.2460  0.0206  0.0874
   226.98   224.83   229.13  1.14293   0.500   60.00  4.0866  0.0205  0.0843
   226.98   224.83   229.13  1.14293   0.567   55.48  3.8540  0.0206  0.0798
   226.98   224.83   229.13  1.14293   0.633   50.70  3.6304  0.0207  0.0755
   226.98   224.83   229.13  1.14293   0.700   45.57  3.3578  0.0209  0.0703
   226.98   224.83   229.13  1.14293   0.767   39.94  3.0273  0.0214  0.0642
   226.98   224.83   229.13  1.14293   0.833   33.56  2.7360  0.0224  0.0591
   226.98   224.83   229.13  1.14293   0.900   25.84  2.4148  0.0243  0.0541
   226.98   224.83   229.13  1.14293   0.967   14.84  2.0385  0.0286  0.0498
   231.29   229.13   233.44  1.14646  -0.967  165.16  3.6698  0.0232  0.0770
   231.29   229.13   233.44  1.14646  -0.900  154.16  3.9867  0.0231  0.0830
