   W             E0+(p)                 E1+(p)                 M1+(p)                 M1-(p)                 E2+(p)                 E2-(p)                 M2+(p)                 M2-(p)                 E3+(p)                 E3-(p)                 M3+(p)                 M3-(p)                 E4+(p)                 E4-(p)                 M4+(p)                 M4-(p)                 E5+(p)                 E5-(p)                 M5+(p)                 M5-(p)                 E6+(p)                 E6-(p)                 M6+(p)                 M6-(p)                 E7+(p)                 E7-(p)                 M7+(p)                 M7-(p)                 E8+(p)                 E8-(p)                 M8+(p)                 M8-(p)                 E9+(p)                 E9-(p)                 M9+(p)                 M9-(p)
 (MeV)        Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im
  810.0   -1.834975  11.398575    0.024062  -0.027931    0.493254  -0.200237    0.221384  -0.032674   -0.020928  -0.006085   -0.123836   0.487795   -0.030881  -0.018541   -0.206303   0.320054   -0.000120   0.000000    0.016175   0.004235    0.002152   0.000000    0.004659   0.001072   -0.000016   0.000000    0.000108   0.000000    0.000125   0.000000    0.000446   0.000000   -0.000001   0.000000    0.000017   0.000000    0.000017   0.000000    0.000040   0.000000    0.000000   0.000000    0.000001   0.000000    0.000001   0.000000    0.000004   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  820.0   -2.539939  10.827028    0.027658  -0.029834    0.528262  -0.213772    0.221335  -0.037481   -0.023279  -0.007384   -0.147884   0.485998   -0.035415  -0.022838   -0.236745   0.310229   -0.000135   0.000000    0.018988   0.005400    0.002467   0.000000    0.005532   0.001389   -0.000019   0.000000    0.000129   0.000000    0.000150   0.000000    0.000537   0.000000   -0.000002   0.000000    0.000021   0.000000    0.000021   0.000000    0.000050   0.000000    0.000000   0.000000    0.000001   0.000000    0.000002   0.000000    0.000005   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  830.0   -3.139859  10.229823    0.031495  -0.031573    0.563888  -0.226099    0.219539  -0.042889   -0.025675  -0.008897   -0.167023   0.481041   -0.040182  -0.027913   -0.263638   0.296803   -0.000150   0.000000    0.022032   0.006817    0.002795   0.000000    0.006487   0.001783   -0.000022   0.000000    0.000153   0.000000    0.000178   0.000000    0.000636   0.000000   -0.000002   0.000000    0.000026   0.000000    0.000026   0.000000    0.000062   0.000000    0.000000   0.000000    0.000001   0.000000    0.000002   0.000000    0.000006   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  840.0   -3.644961   9.619011    0.035558  -0.033123    0.600138  -0.237037    0.216041  -0.048990   -0.028105  -0.010657   -0.181731   0.474288   -0.045132  -0.033891   -0.287216   0.280646   -0.000166   0.000000    0.025311   0.008533    0.003133   0.000000    0.007524   0.002269   -0.000026   0.000000    0.000178   0.000000    0.000208   0.000000    0.000744   0.000000   -0.000002   0.000000    0.000032   0.000000    0.000032   0.000000    0.000076   0.000000    0.000000   0.000000    0.000002   0.000000    0.000002   0.000000    0.000008   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  850.0   -4.064833   9.003061    0.039825  -0.034460    0.636969  -0.246422    0.210862  -0.055895   -0.030549  -0.012699   -0.192607   0.466717   -0.050186  -0.040907   -0.307763   0.262348   -0.000181   0.000000    0.028823   0.010609    0.003483   0.000000    0.008644   0.002869   -0.000029   0.000000    0.000206   0.000000    0.000241   0.000000    0.000859   0.000000   -0.000003   0.000000    0.000037   0.000000    0.000038   0.000000    0.000091   0.000000    0.000000   0.000000    0.000002   0.000000    0.000003   0.000000    0.000010   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  860.0   -4.407806   8.387606    0.044274  -0.035565    0.674296  -0.254112    0.204007  -0.063737   -0.032977  -0.015062   -0.200272   0.459016   -0.055233  -0.049109   -0.325539   0.242289   -0.000197   0.000000    0.032561   0.013115    0.003842   0.000000    0.009842   0.003605   -0.000033   0.000000    0.000234   0.000000    0.000276   0.000000    0.000983   0.000000   -0.000003   0.000000    0.000044   0.000000    0.000045   0.000000    0.000107   0.000000    0.000000   0.000000    0.000002   0.000000    0.000004   0.000000    0.000012   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  870.0   -4.680518   7.776228    0.048878  -0.036422    0.712005  -0.259992    0.195469  -0.072671   -0.035351  -0.017785   -0.205320   0.451648   -0.060116  -0.058650   -0.340736   0.220710   -0.000212   0.000000    0.036506   0.016131    0.004211   0.000000    0.011112   0.004506   -0.000037   0.000000    0.000265   0.000000    0.000313   0.000000    0.001114   0.000000   -0.000004   0.000000    0.000051   0.000000    0.000053   0.000000    0.000126   0.000000   -0.000001   0.000000    0.000003   0.000000    0.000005   0.000000    0.000015   0.000000    0.000000   0.000000    0.000001   0.000000    0.000001   0.000000    0.000002   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  880.0   -4.887642   7.171286    0.053610  -0.037020    0.749960  -0.263973    0.185232  -0.082883   -0.037615  -0.020907   -0.208304   0.444914   -0.064626  -0.069677   -0.353460   0.197762   -0.000227   0.000000    0.040626   0.019752    0.004589   0.000000    0.012443   0.005606   -0.000041   0.000000    0.000298   0.000000    0.000352   0.000000    0.001253   0.000000   -0.000004   0.000000    0.000059   0.000000    0.000062   0.000000    0.000146   0.000000   -0.000001   0.000000    0.000003   0.000000    0.000006   0.000000    0.000018   0.000000    0.000000   0.000000    0.000001   0.000000    0.000001   0.000000    0.000002   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  890.0   -5.031790   6.574804    0.058441  -0.037350    0.788012  -0.265999    0.173275  -0.094596   -0.039701  -0.024464   -0.209722   0.438993   -0.068488  -0.082322   -0.363735   0.173562   -0.000241   0.000000    0.044867   0.024087    0.004975   0.000000    0.013813   0.006941   -0.000045   0.000000    0.000332   0.000000    0.000394   0.000000    0.001400   0.000000   -0.000005   0.000000    0.000067   0.000000    0.000071   0.000000    0.000168   0.000000   -0.000001   0.000000    0.000004   0.000000    0.000007   0.000000    0.000021   0.000000    0.000000   0.000000    0.000001   0.000000    0.000001   0.000000    0.000003   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  900.0   -5.113672   5.989443    0.063344  -0.037409    0.826007  -0.266042    0.159576  -0.108076   -0.041518  -0.028479   -0.210025   0.433971   -0.071355  -0.096678   -0.371505   0.148230   -0.000256   0.000000    0.049146   0.029254    0.005368   0.000000    0.015193   0.008553   -0.000049   0.000000    0.000367   0.000000    0.000438   0.000000    0.001554   0.000000   -0.000005   0.000000    0.000076   0.000000    0.000081   0.000000    0.000191   0.000000   -0.000001   0.000000    0.000005   0.000000    0.000008   0.000000    0.000025   0.000000    0.000000   0.000000    0.000001   0.000000    0.000001   0.000000    0.000003   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
