 W         M3-(eta_p) 
 (MeV)     Re      Im 
1487.5 0.0000 0.0000 
1493.8 0.0001 0.0000 
1500.1 0.0004 0.0000 
1506.3 0.0007 0.0001 
1512.5 0.0010 0.0001 
1518.7 0.0014 0.0002 
1524.9 0.0019 0.0003 
1531.0 0.0025 0.0005 
1537.1 0.0032 0.0006 
1543.2 0.0039 0.0008 
1549.3 0.0047 0.0011 
1555.3 0.0055 0.0014 
1561.4 0.0065 0.0018 
1567.4 0.0075 0.0023 
1573.3 0.0086 0.0029 
1579.3 0.0098 0.0036 
1585.2 0.0111 0.0045 
1591.1 0.0124 0.0056 
1597.0 0.0138 0.0069 
1602.9 0.0152 0.0086 
1608.7 0.0165 0.0105 
1614.5 0.0178 0.0128 
1620.3 0.0188 0.0155 
1626.1 0.0196 0.0186 
1631.9 0.0200 0.0221 
1637.6 0.0197 0.0261 
1643.3 0.0188 0.0302 
1649.0 0.0169 0.0345 
1654.7 0.0141 0.0387 
1660.4 0.0103 0.0425 
1666.0 0.0055 0.0455 
1671.7 0.0001 0.0477 
1677.3 -0.0058 0.0487 
1682.8 -0.0119 0.0485 
1688.4 -0.0178 0.0473 
1694.0 -0.0233 0.0450 
1699.5 -0.0282 0.0420 
1705.0 -0.0326 0.0383 
1710.5 -0.0362 0.0342 
1716.0 -0.0393 0.0298 
1721.4 -0.0417 0.0252 
1726.9 -0.0436 0.0205 
1732.3 -0.0450 0.0157 
1737.7 -0.0460 0.0110 
1743.1 -0.0466 0.0063 
1748.5 -0.0468 0.0016 
1753.8 -0.0468 -0.0030 
1759.2 -0.0464 -0.0075 
1764.5 -0.0457 -0.0120 
1769.8 -0.0448 -0.0165 
1775.1 -0.0436 -0.0208 
1780.4 -0.0422 -0.0251 
1785.6 -0.0405 -0.0293 
1790.9 -0.0386 -0.0335 
1796.1 -0.0365 -0.0375 
1801.3 -0.0342 -0.0414 
1806.5 -0.0316 -0.0452 
1811.7 -0.0288 -0.0489 
1816.9 -0.0258 -0.0524 
1822.0 -0.0227 -0.0557 
1827.2 -0.0193 -0.0588 
1832.3 -0.0158 -0.0618 
1837.4 -0.0122 -0.0646 
1842.5 -0.0084 -0.0671 
1847.6 -0.0046 -0.0694 
1852.7 -0.0007 -0.0715 
1857.7 0.0033 -0.0734 
1862.8 0.0073 -0.0751 
1867.8 0.0114 -0.0766 
1872.8 0.0154 -0.0778 
1877.8 0.0194 -0.0789 
1882.8 0.0234 -0.0797 
1887.8 0.0273 -0.0804 
1892.8 0.0312 -0.0809 
1897.7 0.0350 -0.0813 
1902.7 0.0388 -0.0815 
1907.6 0.0424 -0.0816 
1912.5 0.0460 -0.0815 
1917.4 0.0495 -0.0814 
1922.3 0.0528 -0.0811 
1927.2 0.0561 -0.0807 
1932.0 0.0593 -0.0803 
1936.9 0.0624 -0.0798 
1941.7 0.0654 -0.0792 
1946.5 0.0683 -0.0786 
1951.3 0.0711 -0.0779 
1956.1 0.0739 -0.0772 
1960.9 0.0765 -0.0765 
1965.7 0.0791 -0.0757 
1970.5 0.0815 -0.0749 
1975.2 0.0839 -0.0741 
1980.0 0.0862 -0.0733 
1984.7 0.0885 -0.0725 
1989.4 0.0906 -0.0716 
1994.2 0.0927 -0.0708 
1998.9 0.0948 -0.0699 
2003.5 0.0968 -0.0691 
2008.2 0.0987 -0.0683 
2012.9 0.1005 -0.0674 
2017.5 0.1024 -0.0666 
2022.2 0.1041 -0.0658 
2026.8 0.1058 -0.0650 
2031.4 0.1075 -0.0642 
2036.1 0.1091 -0.0634 
2040.7 0.1107 -0.0626 
2045.3 0.1122 -0.0618 
2049.8 0.1137 -0.0610 
2054.4 0.1152 -0.0603 
2059.0 0.1166 -0.0595 
2063.5 0.1180 -0.0588 
2068.1 0.1194 -0.0581 
2072.6 0.1207 -0.0574 
2077.1 0.1220 -0.0567 
2081.6 0.1233 -0.0560 
2086.1 0.1246 -0.0554 
2090.6 0.1258 -0.0547 
2095.1 0.1270 -0.0541 
2099.6 0.1282 -0.0534 
2104.0 0.1293 -0.0528 
2108.5 0.1305 -0.0522 
2112.9 0.1316 -0.0516 
2117.4 0.1327 -0.0511 
2121.8 0.1338 -0.0505 
2126.2 0.1348 -0.0499 
2130.6 0.1359 -0.0494 
2135.0 0.1369 -0.0488 
2139.4 0.1379 -0.0483 
2143.8 0.1389 -0.0478 
2148.2 0.1399 -0.0473 
2152.5 0.1409 -0.0468 
2156.9 0.1418 -0.0463 
2161.2 0.1428 -0.0458 
2165.6 0.1437 -0.0453 
2169.9 0.1446 -0.0449 
2174.2 0.1455 -0.0444 
2178.5 0.1464 -0.0440 
2182.8 0.1473 -0.0436 
2187.1 0.1481 -0.0431 
2191.4 0.1490 -0.0427 
2195.7 0.1498 -0.0423 
2200.0 0.1507 -0.0419 
2204.2 0.1515 -0.0415 
2208.5 0.1523 -0.0411 
2212.7 0.1531 -0.0407 
2217.0 0.1539 -0.0403 
2221.2 0.1547 -0.0400 
2225.4 0.1555 -0.0396 
2229.6 0.1562 -0.0393 
2233.8 0.1570 -0.0389 
2238.0 0.1577 -0.0386 
