 W         E1+(eta_p) 
 (MeV)     Re      Im 
1487.5 0.0010 -0.0026 
1493.8 0.0027 -0.0065 
1500.1 0.0043 -0.0094 
1506.3 0.0060 -0.0119 
1512.5 0.0079 -0.0144 
1518.7 0.0099 -0.0168 
1524.9 0.0122 -0.0192 
1531.0 0.0148 -0.0215 
1537.1 0.0176 -0.0237 
1543.2 0.0207 -0.0259 
1549.3 0.0241 -0.0279 
1555.3 0.0277 -0.0298 
1561.4 0.0315 -0.0316 
1567.4 0.0356 -0.0331 
1573.3 0.0398 -0.0345 
1579.3 0.0443 -0.0356 
1585.2 0.0489 -0.0364 
1591.1 0.0536 -0.0370 
1597.0 0.0584 -0.0374 
1602.9 0.0633 -0.0374 
1608.7 0.0683 -0.0372 
1614.5 0.0733 -0.0367 
1620.3 0.0782 -0.0360 
1626.1 0.0831 -0.0350 
1631.9 0.0880 -0.0337 
1637.6 0.0928 -0.0322 
1643.3 0.0976 -0.0305 
1649.0 0.1022 -0.0286 
1654.7 0.1068 -0.0265 
1660.4 0.1112 -0.0242 
1666.0 0.1155 -0.0217 
1671.7 0.1197 -0.0191 
1677.3 0.1237 -0.0162 
1682.8 0.1276 -0.0133 
1688.4 0.1314 -0.0102 
1694.0 0.1350 -0.0070 
1699.5 0.1384 -0.0036 
1705.0 0.1417 -0.0001 
1710.5 0.1448 0.0035 
1716.0 0.1478 0.0071 
1721.4 0.1506 0.0109 
1726.9 0.1531 0.0148 
1732.3 0.1556 0.0187 
1737.7 0.1578 0.0228 
1743.1 0.1598 0.0268 
1748.5 0.1617 0.0310 
1753.8 0.1633 0.0352 
1759.2 0.1647 0.0394 
1764.5 0.1659 0.0436 
1769.8 0.1669 0.0479 
1775.1 0.1677 0.0522 
1780.4 0.1683 0.0564 
1785.6 0.1686 0.0607 
1790.9 0.1688 0.0649 
1796.1 0.1687 0.0690 
1801.3 0.1684 0.0731 
1806.5 0.1678 0.0771 
1811.7 0.1671 0.0810 
1816.9 0.1662 0.0849 
1822.0 0.1650 0.0886 
1827.2 0.1637 0.0922 
1832.3 0.1621 0.0956 
1837.4 0.1604 0.0989 
1842.5 0.1586 0.1020 
1847.6 0.1566 0.1049 
1852.7 0.1544 0.1077 
1857.7 0.1522 0.1103 
1862.8 0.1498 0.1126 
1867.8 0.1473 0.1148 
1872.8 0.1448 0.1168 
1877.8 0.1421 0.1185 
1882.8 0.1395 0.1201 
1887.8 0.1368 0.1214 
1892.8 0.1341 0.1226 
1897.7 0.1313 0.1235 
1902.7 0.1286 0.1242 
1907.6 0.1259 0.1248 
1912.5 0.1233 0.1252 
1917.4 0.1206 0.1253 
1922.3 0.1181 0.1254 
1927.2 0.1156 0.1252 
1932.0 0.1131 0.1249 
1936.9 0.1108 0.1245 
1941.7 0.1085 0.1239 
1946.5 0.1063 0.1232 
1951.3 0.1042 0.1224 
1956.1 0.1022 0.1215 
1960.9 0.1003 0.1205 
1965.7 0.0985 0.1194 
1970.5 0.0968 0.1182 
1975.2 0.0951 0.1169 
1980.0 0.0936 0.1156 
1984.7 0.0922 0.1142 
1989.4 0.0909 0.1128 
1994.2 0.0897 0.1113 
1998.9 0.0886 0.1098 
2003.5 0.0876 0.1083 
2008.2 0.0866 0.1068 
2012.9 0.0858 0.1052 
2017.5 0.0850 0.1036 
2022.2 0.0843 0.1020 
2026.8 0.0837 0.1004 
2031.4 0.0832 0.0988 
2036.1 0.0827 0.0972 
2040.7 0.0824 0.0956 
2045.3 0.0821 0.0940 
2049.8 0.0818 0.0925 
2054.4 0.0816 0.0909 
2059.0 0.0815 0.0893 
2063.5 0.0814 0.0878 
2068.1 0.0814 0.0863 
2072.6 0.0814 0.0848 
2077.1 0.0815 0.0833 
2081.6 0.0816 0.0818 
2086.1 0.0818 0.0804 
2090.6 0.0820 0.0790 
2095.1 0.0822 0.0776 
2099.6 0.0825 0.0762 
2104.0 0.0828 0.0748 
2108.5 0.0831 0.0735 
2112.9 0.0835 0.0722 
2117.4 0.0839 0.0709 
2121.8 0.0843 0.0696 
2126.2 0.0848 0.0684 
2130.6 0.0852 0.0672 
2135.0 0.0857 0.0660 
2139.4 0.0862 0.0648 
2143.8 0.0868 0.0637 
2148.2 0.0873 0.0626 
2152.5 0.0879 0.0615 
2156.9 0.0885 0.0604 
2161.2 0.0890 0.0593 
2165.6 0.0897 0.0583 
2169.9 0.0903 0.0573 
2174.2 0.0909 0.0563 
2178.5 0.0915 0.0553 
2182.8 0.0922 0.0544 
2187.1 0.0928 0.0534 
2191.4 0.0935 0.0525 
2195.7 0.0942 0.0516 
2200.0 0.0948 0.0508 
2204.2 0.0955 0.0499 
2208.5 0.0962 0.0491 
2212.7 0.0969 0.0483 
2217.0 0.0976 0.0475 
2221.2 0.0983 0.0467 
2225.4 0.0990 0.0459 
2229.6 0.0997 0.0451 
2233.8 0.1004 0.0444 
2238.0 0.1011 0.0437 
