 W         E2+(eta_p) 
 (MeV)     Re      Im 
1487.5 -0.0004 -0.0001 
1493.8 -0.0022 -0.0003 
1500.1 -0.0041 -0.0006 
1506.3 -0.0060 -0.0010 
1512.5 -0.0080 -0.0014 
1518.7 -0.0100 -0.0019 
1524.9 -0.0121 -0.0025 
1531.0 -0.0142 -0.0032 
1537.1 -0.0164 -0.0040 
1543.2 -0.0186 -0.0050 
1549.3 -0.0209 -0.0061 
1555.3 -0.0233 -0.0074 
1561.4 -0.0257 -0.0089 
1567.4 -0.0281 -0.0107 
1573.3 -0.0305 -0.0127 
1579.3 -0.0330 -0.0151 
1585.2 -0.0354 -0.0178 
1591.1 -0.0376 -0.0209 
1597.0 -0.0397 -0.0245 
1602.9 -0.0415 -0.0285 
1608.7 -0.0430 -0.0330 
1614.5 -0.0439 -0.0379 
1620.3 -0.0442 -0.0432 
1626.1 -0.0437 -0.0488 
1631.9 -0.0424 -0.0546 
1637.6 -0.0400 -0.0602 
1643.3 -0.0367 -0.0656 
1649.0 -0.0324 -0.0705 
1654.7 -0.0274 -0.0746 
1660.4 -0.0217 -0.0777 
1666.0 -0.0157 -0.0798 
1671.7 -0.0097 -0.0808 
1677.3 -0.0038 -0.0809 
1682.8 0.0017 -0.0801 
1688.4 0.0067 -0.0786 
1694.0 0.0111 -0.0766 
1699.5 0.0150 -0.0743 
1705.0 0.0183 -0.0717 
1710.5 0.0210 -0.0690 
1716.0 0.0233 -0.0663 
1721.4 0.0252 -0.0636 
1726.9 0.0266 -0.0610 
1732.3 0.0278 -0.0585 
1737.7 0.0287 -0.0562 
1743.1 0.0294 -0.0540 
1748.5 0.0299 -0.0519 
1753.8 0.0303 -0.0500 
1759.2 0.0306 -0.0482 
1764.5 0.0307 -0.0466 
1769.8 0.0308 -0.0451 
1775.1 0.0309 -0.0437 
1780.4 0.0308 -0.0424 
1785.6 0.0308 -0.0412 
1790.9 0.0307 -0.0401 
1796.1 0.0306 -0.0391 
1801.3 0.0306 -0.0382 
1806.5 0.0305 -0.0373 
1811.7 0.0304 -0.0365 
1816.9 0.0303 -0.0358 
1822.0 0.0302 -0.0351 
1827.2 0.0301 -0.0345 
1832.3 0.0301 -0.0339 
1837.4 0.0300 -0.0334 
1842.5 0.0300 -0.0329 
1847.6 0.0300 -0.0324 
1852.7 0.0300 -0.0319 
1857.7 0.0300 -0.0315 
1862.8 0.0300 -0.0311 
1867.8 0.0301 -0.0307 
1872.8 0.0301 -0.0304 
1877.8 0.0302 -0.0300 
1882.8 0.0303 -0.0297 
1887.8 0.0304 -0.0294 
1892.8 0.0305 -0.0291 
1897.7 0.0306 -0.0288 
1902.7 0.0307 -0.0285 
1907.6 0.0309 -0.0282 
1912.5 0.0310 -0.0279 
1917.4 0.0312 -0.0276 
1922.3 0.0314 -0.0273 
1927.2 0.0315 -0.0270 
1932.0 0.0317 -0.0267 
1936.9 0.0319 -0.0264 
1941.7 0.0321 -0.0262 
1946.5 0.0323 -0.0259 
1951.3 0.0325 -0.0256 
1956.1 0.0327 -0.0253 
1960.9 0.0329 -0.0251 
1965.7 0.0331 -0.0248 
1970.5 0.0333 -0.0245 
1975.2 0.0335 -0.0242 
1980.0 0.0337 -0.0239 
1984.7 0.0339 -0.0237 
1989.4 0.0341 -0.0234 
1994.2 0.0342 -0.0231 
1998.9 0.0344 -0.0229 
2003.5 0.0346 -0.0226 
2008.2 0.0348 -0.0223 
2012.9 0.0350 -0.0221 
2017.5 0.0352 -0.0218 
2022.2 0.0354 -0.0215 
2026.8 0.0356 -0.0213 
2031.4 0.0357 -0.0210 
2036.1 0.0359 -0.0208 
2040.7 0.0361 -0.0205 
2045.3 0.0363 -0.0203 
2049.8 0.0365 -0.0200 
2054.4 0.0366 -0.0198 
2059.0 0.0368 -0.0195 
2063.5 0.0370 -0.0193 
2068.1 0.0371 -0.0191 
2072.6 0.0373 -0.0188 
2077.1 0.0375 -0.0186 
2081.6 0.0376 -0.0184 
2086.1 0.0378 -0.0182 
2090.6 0.0379 -0.0180 
2095.1 0.0381 -0.0177 
2099.6 0.0383 -0.0175 
2104.0 0.0384 -0.0173 
2108.5 0.0386 -0.0171 
2112.9 0.0387 -0.0169 
2117.4 0.0389 -0.0167 
2121.8 0.0390 -0.0165 
2126.2 0.0392 -0.0163 
2130.6 0.0393 -0.0161 
2135.0 0.0395 -0.0160 
2139.4 0.0396 -0.0158 
2143.8 0.0398 -0.0156 
2148.2 0.0399 -0.0154 
2152.5 0.0401 -0.0153 
2156.9 0.0402 -0.0151 
2161.2 0.0404 -0.0149 
2165.6 0.0405 -0.0147 
2169.9 0.0407 -0.0146 
2174.2 0.0408 -0.0144 
2178.5 0.0410 -0.0143 
2182.8 0.0411 -0.0141 
2187.1 0.0413 -0.0140 
2191.4 0.0414 -0.0138 
2195.7 0.0416 -0.0137 
2200.0 0.0417 -0.0135 
2204.2 0.0419 -0.0134 
2208.5 0.0420 -0.0132 
2212.7 0.0422 -0.0131 
2217.0 0.0423 -0.0130 
2221.2 0.0425 -0.0128 
2225.4 0.0426 -0.0127 
2229.6 0.0427 -0.0126 
2233.8 0.0429 -0.0125 
2238.0 0.0430 -0.0123 
