 W         E2-(eta_p) 
 (MeV)     Re      Im 
1487.5 0.0114 0.0139 
1493.8 0.0546 0.0843 
1500.1 0.0806 0.1620 
1506.3 0.0871 0.2406 
1512.5 0.0753 0.3131 
1518.7 0.0493 0.3742 
1524.9 0.0145 0.4211 
1531.0 -0.0235 0.4539 
1537.1 -0.0608 0.4742 
1543.2 -0.0947 0.4846 
1549.3 -0.1238 0.4878 
1555.3 -0.1479 0.4860 
1561.4 -0.1670 0.4810 
1567.4 -0.1817 0.4743 
1573.3 -0.1926 0.4667 
1579.3 -0.2003 0.4590 
1585.2 -0.2053 0.4516 
1591.1 -0.2083 0.4449 
1597.0 -0.2097 0.4390 
1602.9 -0.2100 0.4340 
1608.7 -0.2096 0.4299 
1614.5 -0.2089 0.4266 
1620.3 -0.2081 0.4240 
1626.1 -0.2075 0.4221 
1631.9 -0.2073 0.4205 
1637.6 -0.2076 0.4190 
1643.3 -0.2085 0.4174 
1649.0 -0.2099 0.4154 
1654.7 -0.2118 0.4129 
1660.4 -0.2141 0.4097 
1666.0 -0.2166 0.4057 
1671.7 -0.2190 0.4008 
1677.3 -0.2213 0.3950 
1682.8 -0.2233 0.3883 
1688.4 -0.2249 0.3809 
1694.0 -0.2259 0.3727 
1699.5 -0.2264 0.3640 
1705.0 -0.2263 0.3546 
1710.5 -0.2255 0.3447 
1716.0 -0.2240 0.3344 
1721.4 -0.2218 0.3236 
1726.9 -0.2189 0.3125 
1732.3 -0.2152 0.3009 
1737.7 -0.2107 0.2890 
1743.1 -0.2053 0.2767 
1748.5 -0.1989 0.2641 
1753.8 -0.1914 0.2512 
1759.2 -0.1827 0.2381 
1764.5 -0.1726 0.2249 
1769.8 -0.1611 0.2117 
1775.1 -0.1480 0.1989 
1780.4 -0.1333 0.1864 
1785.6 -0.1170 0.1748 
1790.9 -0.0990 0.1642 
1796.1 -0.0795 0.1549 
1801.3 -0.0587 0.1472 
1806.5 -0.0369 0.1414 
1811.7 -0.0143 0.1376 
1816.9 0.0087 0.1359 
1822.0 0.0318 0.1363 
1827.2 0.0547 0.1386 
1832.3 0.0770 0.1428 
1837.4 0.0987 0.1487 
1842.5 0.1194 0.1561 
1847.6 0.1393 0.1647 
1852.7 0.1582 0.1743 
1857.7 0.1761 0.1849 
1862.8 0.1930 0.1962 
1867.8 0.2091 0.2081 
1872.8 0.2243 0.2205 
1877.8 0.2387 0.2334 
1882.8 0.2525 0.2467 
1887.8 0.2656 0.2604 
1892.8 0.2781 0.2745 
1897.7 0.2901 0.2891 
1902.7 0.3016 0.3040 
1907.6 0.3125 0.3194 
1912.5 0.3230 0.3353 
1917.4 0.3330 0.3516 
1922.3 0.3424 0.3686 
1927.2 0.3514 0.3861 
1932.0 0.3597 0.4043 
1936.9 0.3674 0.4231 
1941.7 0.3745 0.4425 
1946.5 0.3808 0.4627 
1951.3 0.3863 0.4837 
1956.1 0.3909 0.5053 
1960.9 0.3945 0.5277 
1965.7 0.3970 0.5507 
1970.5 0.3982 0.5745 
1975.2 0.3981 0.5989 
1980.0 0.3966 0.6238 
1984.7 0.3935 0.6493 
1989.4 0.3887 0.6751 
1994.2 0.3821 0.7012 
1998.9 0.3736 0.7274 
2003.5 0.3632 0.7535 
2008.2 0.3506 0.7794 
2012.9 0.3360 0.8049 
2017.5 0.3193 0.8296 
2022.2 0.3004 0.8535 
2026.8 0.2795 0.8761 
2031.4 0.2566 0.8974 
2036.1 0.2318 0.9171 
2040.7 0.2053 0.9348 
2045.3 0.1773 0.9506 
2049.8 0.1481 0.9640 
2054.4 0.1178 0.9751 
2059.0 0.0867 0.9838 
2063.5 0.0552 0.9899 
2068.1 0.0234 0.9935 
2072.6 -0.0082 0.9945 
2077.1 -0.0395 0.9931 
2081.6 -0.0702 0.9893 
2086.1 -0.1000 0.9833 
2090.6 -0.1288 0.9752 
2095.1 -0.1564 0.9653 
2099.6 -0.1826 0.9536 
2104.0 -0.2074 0.9405 
2108.5 -0.2307 0.9260 
2112.9 -0.2523 0.9105 
2117.4 -0.2724 0.8941 
2121.8 -0.2909 0.8769 
2126.2 -0.3078 0.8592 
2130.6 -0.3232 0.8411 
2135.0 -0.3370 0.8227 
2139.4 -0.3495 0.8042 
2143.8 -0.3606 0.7856 
2148.2 -0.3704 0.7672 
2152.5 -0.3789 0.7489 
2156.9 -0.3864 0.7308 
2161.2 -0.3928 0.7130 
2165.6 -0.3983 0.6955 
2169.9 -0.4028 0.6784 
2174.2 -0.4065 0.6617 
2178.5 -0.4094 0.6454 
2182.8 -0.4117 0.6296 
2187.1 -0.4133 0.6141 
2191.4 -0.4143 0.5992 
2195.7 -0.4148 0.5847 
2200.0 -0.4148 0.5706 
2204.2 -0.4144 0.5570 
2208.5 -0.4136 0.5439 
2212.7 -0.4125 0.5312 
2217.0 -0.4110 0.5189 
2221.2 -0.4093 0.5070 
2225.4 -0.4073 0.4955 
2229.6 -0.4051 0.4845 
2233.8 -0.4027 0.4738 
2238.0 -0.4001 0.4634 
