 W         M4-(eta_p) 
 (MeV)     Re      Im 
1487.5 0.0000 0.0000 
1493.8 0.0000 0.0000 
1500.1 0.0000 0.0000 
1506.3 0.0000 0.0000 
1512.5 0.0001 0.0000 
1518.7 0.0001 0.0000 
1524.9 0.0002 0.0000 
1531.0 0.0002 0.0000 
1537.1 0.0003 0.0000 
1543.2 0.0004 0.0000 
1549.3 0.0004 0.0000 
1555.3 0.0005 0.0000 
1561.4 0.0006 0.0000 
1567.4 0.0007 0.0000 
1573.3 0.0009 0.0000 
1579.3 0.0010 0.0000 
1585.2 0.0011 0.0000 
1591.1 0.0013 0.0000 
1597.0 0.0014 0.0000 
1602.9 0.0016 0.0000 
1608.7 0.0017 0.0000 
1614.5 0.0019 0.0000 
1620.3 0.0021 0.0000 
1626.1 0.0022 0.0000 
1631.9 0.0024 0.0000 
1637.6 0.0026 0.0000 
1643.3 0.0028 0.0000 
1649.0 0.0030 0.0000 
1654.7 0.0033 0.0000 
1660.4 0.0035 0.0000 
1666.0 0.0037 0.0000 
1671.7 0.0040 0.0000 
1677.3 0.0042 0.0000 
1682.8 0.0044 0.0000 
1688.4 0.0047 0.0000 
1694.0 0.0050 0.0000 
1699.5 0.0052 0.0000 
1705.0 0.0055 0.0000 
1710.5 0.0058 0.0000 
1716.0 0.0061 0.0000 
1721.4 0.0063 0.0000 
1726.9 0.0066 0.0000 
1732.3 0.0069 0.0000 
1737.7 0.0072 0.0000 
1743.1 0.0075 0.0000 
1748.5 0.0078 0.0000 
1753.8 0.0082 0.0000 
1759.2 0.0085 0.0000 
1764.5 0.0088 0.0000 
1769.8 0.0091 0.0000 
1775.1 0.0094 0.0000 
1780.4 0.0098 0.0000 
1785.6 0.0101 0.0000 
1790.9 0.0105 0.0000 
1796.1 0.0108 0.0000 
1801.3 0.0112 0.0000 
1806.5 0.0115 0.0000 
1811.7 0.0119 0.0000 
1816.9 0.0122 0.0000 
1822.0 0.0126 0.0000 
1827.2 0.0129 0.0000 
1832.3 0.0133 0.0000 
1837.4 0.0137 0.0000 
1842.5 0.0140 0.0000 
1847.6 0.0144 0.0000 
1852.7 0.0148 0.0000 
1857.7 0.0152 0.0000 
1862.8 0.0156 0.0000 
1867.8 0.0159 0.0000 
1872.8 0.0163 0.0000 
1877.8 0.0167 0.0000 
1882.8 0.0171 0.0000 
1887.8 0.0175 0.0000 
1892.8 0.0179 0.0000 
1897.7 0.0183 0.0000 
1902.7 0.0187 0.0000 
1907.6 0.0191 0.0000 
1912.5 0.0195 0.0000 
1917.4 0.0199 0.0000 
1922.3 0.0203 0.0000 
1927.2 0.0207 0.0000 
1932.0 0.0211 0.0000 
1936.9 0.0215 0.0000 
1941.7 0.0219 0.0000 
1946.5 0.0223 0.0000 
1951.3 0.0227 0.0000 
1956.1 0.0231 0.0000 
1960.9 0.0235 0.0000 
1965.7 0.0240 0.0000 
1970.5 0.0244 0.0000 
1975.2 0.0248 0.0000 
1980.0 0.0252 0.0000 
1984.7 0.0256 0.0000 
1989.4 0.0260 0.0000 
1994.2 0.0264 0.0000 
1998.9 0.0269 0.0000 
2003.5 0.0273 0.0000 
2008.2 0.0277 0.0000 
2012.9 0.0281 0.0000 
2017.5 0.0285 0.0000 
2022.2 0.0290 0.0000 
2026.8 0.0294 0.0000 
2031.4 0.0298 0.0000 
2036.1 0.0302 0.0000 
2040.7 0.0306 0.0000 
2045.3 0.0310 0.0000 
2049.8 0.0315 0.0000 
2054.4 0.0319 0.0000 
2059.0 0.0323 0.0000 
2063.5 0.0327 0.0000 
2068.1 0.0331 0.0000 
2072.6 0.0336 0.0000 
2077.1 0.0340 0.0000 
2081.6 0.0344 0.0000 
2086.1 0.0348 0.0000 
2090.6 0.0352 0.0000 
2095.1 0.0357 0.0000 
2099.6 0.0361 0.0000 
2104.0 0.0365 0.0000 
2108.5 0.0369 0.0000 
2112.9 0.0373 0.0000 
2117.4 0.0377 0.0000 
2121.8 0.0382 0.0000 
2126.2 0.0386 0.0000 
2130.6 0.0390 0.0000 
2135.0 0.0394 0.0000 
2139.4 0.0398 0.0000 
2143.8 0.0402 0.0000 
2148.2 0.0406 0.0000 
2152.5 0.0411 0.0000 
2156.9 0.0415 0.0000 
2161.2 0.0419 0.0000 
2165.6 0.0423 0.0000 
2169.9 0.0427 0.0000 
2174.2 0.0431 0.0000 
2178.5 0.0435 0.0000 
2182.8 0.0439 0.0000 
2187.1 0.0443 0.0000 
2191.4 0.0447 0.0000 
2195.7 0.0451 0.0000 
2200.0 0.0455 0.0000 
2204.2 0.0459 0.0000 
2208.5 0.0463 0.0000 
2212.7 0.0467 0.0000 
2217.0 0.0471 0.0000 
2221.2 0.0475 0.0000 
2225.4 0.0479 0.0000 
2229.6 0.0483 0.0000 
2233.8 0.0487 0.0000 
2238.0 0.0491 0.0000 
