 W         M2+(eta_p) 
 (MeV)     Re      Im 
1487.5 -0.0004 -0.0001 
1493.8 -0.0023 -0.0008 
1500.1 -0.0045 -0.0016 
1506.3 -0.0069 -0.0026 
1512.5 -0.0095 -0.0039 
1518.7 -0.0124 -0.0054 
1524.9 -0.0155 -0.0071 
1531.0 -0.0189 -0.0093 
1537.1 -0.0226 -0.0119 
1543.2 -0.0266 -0.0149 
1549.3 -0.0309 -0.0185 
1555.3 -0.0354 -0.0228 
1561.4 -0.0402 -0.0279 
1567.4 -0.0451 -0.0339 
1573.3 -0.0502 -0.0409 
1579.3 -0.0552 -0.0491 
1585.2 -0.0601 -0.0587 
1591.1 -0.0646 -0.0697 
1597.0 -0.0685 -0.0823 
1602.9 -0.0714 -0.0967 
1608.7 -0.0728 -0.1128 
1614.5 -0.0723 -0.1305 
1620.3 -0.0695 -0.1497 
1626.1 -0.0636 -0.1699 
1631.9 -0.0543 -0.1906 
1637.6 -0.0413 -0.2109 
1643.3 -0.0245 -0.2300 
1649.0 -0.0041 -0.2469 
1654.7 0.0194 -0.2606 
1660.4 0.0450 -0.2706 
1666.0 0.0718 -0.2763 
1671.7 0.0989 -0.2779 
1677.3 0.1251 -0.2756 
1682.8 0.1499 -0.2698 
1688.4 0.1727 -0.2612 
1694.0 0.1931 -0.2504 
1699.5 0.2112 -0.2381 
1705.0 0.2270 -0.2247 
1710.5 0.2405 -0.2109 
1716.0 0.2520 -0.1967 
1721.4 0.2617 -0.1827 
1726.9 0.2699 -0.1688 
1732.3 0.2767 -0.1552 
1737.7 0.2823 -0.1420 
1743.1 0.2869 -0.1293 
1748.5 0.2906 -0.1170 
1753.8 0.2936 -0.1052 
1759.2 0.2959 -0.0938 
1764.5 0.2976 -0.0828 
1769.8 0.2988 -0.0722 
1775.1 0.2996 -0.0619 
1780.4 0.2999 -0.0521 
1785.6 0.2999 -0.0425 
1790.9 0.2995 -0.0333 
1796.1 0.2989 -0.0244 
1801.3 0.2979 -0.0157 
1806.5 0.2966 -0.0074 
1811.7 0.2951 0.0007 
1816.9 0.2933 0.0086 
1822.0 0.2912 0.0162 
1827.2 0.2889 0.0235 
1832.3 0.2864 0.0306 
1837.4 0.2837 0.0374 
1842.5 0.2807 0.0440 
1847.6 0.2776 0.0503 
1852.7 0.2743 0.0564 
1857.7 0.2708 0.0622 
1862.8 0.2671 0.0677 
1867.8 0.2633 0.0730 
1872.8 0.2593 0.0780 
1877.8 0.2553 0.0827 
1882.8 0.2511 0.0872 
1887.8 0.2468 0.0914 
1892.8 0.2424 0.0953 
1897.7 0.2380 0.0989 
1902.7 0.2335 0.1023 
1907.6 0.2290 0.1054 
1912.5 0.2245 0.1082 
1917.4 0.2199 0.1108 
1922.3 0.2154 0.1132 
1927.2 0.2108 0.1152 
1932.0 0.2063 0.1171 
1936.9 0.2019 0.1187 
1941.7 0.1975 0.1201 
1946.5 0.1931 0.1213 
1951.3 0.1888 0.1223 
1956.1 0.1846 0.1231 
1960.9 0.1805 0.1237 
1965.7 0.1765 0.1241 
1970.5 0.1725 0.1244 
1975.2 0.1687 0.1245 
1980.0 0.1650 0.1245 
1984.7 0.1613 0.1244 
1989.4 0.1578 0.1241 
1994.2 0.1544 0.1237 
1998.9 0.1511 0.1232 
2003.5 0.1479 0.1226 
2008.2 0.1448 0.1220 
2012.9 0.1418 0.1212 
2017.5 0.1389 0.1204 
2022.2 0.1362 0.1195 
2026.8 0.1335 0.1186 
2031.4 0.1310 0.1176 
2036.1 0.1285 0.1165 
2040.7 0.1261 0.1155 
2045.3 0.1239 0.1143 
2049.8 0.1217 0.1132 
2054.4 0.1196 0.1120 
2059.0 0.1176 0.1108 
2063.5 0.1157 0.1096 
2068.1 0.1139 0.1084 
2072.6 0.1122 0.1071 
2077.1 0.1105 0.1059 
2081.6 0.1089 0.1046 
2086.1 0.1074 0.1034 
2090.6 0.1059 0.1021 
2095.1 0.1045 0.1009 
2099.6 0.1032 0.0996 
2104.0 0.1020 0.0984 
2108.5 0.1007 0.0971 
2112.9 0.0996 0.0959 
2117.4 0.0985 0.0946 
2121.8 0.0975 0.0934 
2126.2 0.0965 0.0922 
2130.6 0.0955 0.0910 
2135.0 0.0946 0.0898 
2139.4 0.0938 0.0887 
2143.8 0.0929 0.0875 
2148.2 0.0922 0.0864 
2152.5 0.0914 0.0852 
2156.9 0.0907 0.0841 
2161.2 0.0900 0.0830 
2165.6 0.0894 0.0819 
2169.9 0.0888 0.0809 
2174.2 0.0882 0.0798 
2178.5 0.0877 0.0788 
2182.8 0.0871 0.0778 
2187.1 0.0866 0.0768 
2191.4 0.0862 0.0758 
2195.7 0.0857 0.0748 
2200.0 0.0853 0.0738 
2204.2 0.0849 0.0729 
2208.5 0.0845 0.0720 
2212.7 0.0842 0.0710 
2217.0 0.0838 0.0701 
2221.2 0.0835 0.0693 
2225.4 0.0832 0.0684 
2229.6 0.0829 0.0675 
2233.8 0.0826 0.0667 
2238.0 0.0823 0.0659 
