 W         M2-(eta_p) 
 (MeV)     Re      Im 
1487.5 0.0062 0.0100 
1493.8 0.0282 0.0603 
1500.1 0.0371 0.1158 
1506.3 0.0314 0.1714 
1512.5 0.0119 0.2222 
1518.7 -0.0184 0.2639 
1524.9 -0.0555 0.2946 
1531.0 -0.0954 0.3142 
1537.1 -0.1350 0.3237 
1543.2 -0.1723 0.3251 
1549.3 -0.2063 0.3201 
1555.3 -0.2367 0.3102 
1561.4 -0.2636 0.2968 
1567.4 -0.2872 0.2806 
1573.3 -0.3078 0.2623 
1579.3 -0.3255 0.2423 
1585.2 -0.3407 0.2207 
1591.1 -0.3535 0.1978 
1597.0 -0.3637 0.1736 
1602.9 -0.3715 0.1482 
1608.7 -0.3767 0.1219 
1614.5 -0.3790 0.0949 
1620.3 -0.3785 0.0673 
1626.1 -0.3749 0.0397 
1631.9 -0.3681 0.0125 
1637.6 -0.3584 -0.0138 
1643.3 -0.3457 -0.0387 
1649.0 -0.3305 -0.0618 
1654.7 -0.3132 -0.0825 
1660.4 -0.2943 -0.1006 
1666.0 -0.2744 -0.1160 
1671.7 -0.2540 -0.1286 
1677.3 -0.2338 -0.1387 
1682.8 -0.2141 -0.1465 
1688.4 -0.1953 -0.1522 
1694.0 -0.1777 -0.1562 
1699.5 -0.1613 -0.1590 
1705.0 -0.1464 -0.1609 
1710.5 -0.1328 -0.1621 
1716.0 -0.1206 -0.1631 
1721.4 -0.1095 -0.1641 
1726.9 -0.0995 -0.1653 
1732.3 -0.0904 -0.1669 
1737.7 -0.0820 -0.1690 
1743.1 -0.0741 -0.1717 
1748.5 -0.0665 -0.1751 
1753.8 -0.0590 -0.1793 
1759.2 -0.0513 -0.1841 
1764.5 -0.0432 -0.1896 
1769.8 -0.0345 -0.1956 
1775.1 -0.0251 -0.2020 
1780.4 -0.0148 -0.2084 
1785.6 -0.0035 -0.2148 
1790.9 0.0088 -0.2208 
1796.1 0.0220 -0.2261 
1801.3 0.0360 -0.2304 
1806.5 0.0506 -0.2337 
1811.7 0.0656 -0.2356 
1816.9 0.0806 -0.2362 
1822.0 0.0954 -0.2355 
1827.2 0.1097 -0.2334 
1832.3 0.1233 -0.2302 
1837.4 0.1360 -0.2261 
1842.5 0.1476 -0.2212 
1847.6 0.1582 -0.2157 
1852.7 0.1677 -0.2099 
1857.7 0.1761 -0.2039 
1862.8 0.1835 -0.1979 
1867.8 0.1900 -0.1919 
1872.8 0.1955 -0.1862 
1877.8 0.2003 -0.1809 
1882.8 0.2044 -0.1758 
1887.8 0.2078 -0.1712 
1892.8 0.2108 -0.1670 
1897.7 0.2132 -0.1632 
1902.7 0.2153 -0.1599 
1907.6 0.2170 -0.1571 
1912.5 0.2185 -0.1548 
1917.4 0.2198 -0.1529 
1922.3 0.2208 -0.1515 
1927.2 0.2218 -0.1505 
1932.0 0.2227 -0.1500 
1936.9 0.2235 -0.1500 
1941.7 0.2243 -0.1504 
1946.5 0.2252 -0.1511 
1951.3 0.2261 -0.1523 
1956.1 0.2272 -0.1539 
1960.9 0.2284 -0.1559 
1965.7 0.2297 -0.1582 
1970.5 0.2313 -0.1609 
1975.2 0.2331 -0.1639 
1980.0 0.2352 -0.1671 
1984.7 0.2376 -0.1707 
1989.4 0.2404 -0.1745 
1994.2 0.2436 -0.1784 
1998.9 0.2471 -0.1825 
2003.5 0.2511 -0.1867 
2008.2 0.2556 -0.1910 
2012.9 0.2605 -0.1952 
2017.5 0.2659 -0.1994 
2022.2 0.2717 -0.2035 
2026.8 0.2781 -0.2073 
2031.4 0.2848 -0.2109 
2036.1 0.2920 -0.2142 
2040.7 0.2995 -0.2172 
2045.3 0.3074 -0.2197 
2049.8 0.3156 -0.2217 
2054.4 0.3240 -0.2233 
2059.0 0.3326 -0.2243 
2063.5 0.3412 -0.2248 
2068.1 0.3499 -0.2247 
2072.6 0.3586 -0.2241 
2077.1 0.3671 -0.2230 
2081.6 0.3755 -0.2213 
2086.1 0.3837 -0.2192 
2090.6 0.3917 -0.2166 
2095.1 0.3993 -0.2136 
2099.6 0.4066 -0.2102 
2104.0 0.4135 -0.2065 
2108.5 0.4201 -0.2026 
2112.9 0.4263 -0.1984 
2117.4 0.4321 -0.1940 
2121.8 0.4375 -0.1895 
2126.2 0.4426 -0.1849 
2130.6 0.4472 -0.1802 
2135.0 0.4515 -0.1754 
2139.4 0.4555 -0.1707 
2143.8 0.4591 -0.1660 
2148.2 0.4624 -0.1613 
2152.5 0.4654 -0.1566 
2156.9 0.4681 -0.1521 
2161.2 0.4706 -0.1476 
2165.6 0.4728 -0.1432 
2169.9 0.4748 -0.1389 
2174.2 0.4766 -0.1347 
2178.5 0.4782 -0.1306 
2182.8 0.4797 -0.1267 
2187.1 0.4809 -0.1228 
2191.4 0.4821 -0.1191 
2195.7 0.4831 -0.1155 
2200.0 0.4839 -0.1120 
2204.2 0.4847 -0.1086 
2208.5 0.4853 -0.1054 
2212.7 0.4859 -0.1022 
2217.0 0.4864 -0.0992 
2221.2 0.4868 -0.0963 
2225.4 0.4871 -0.0934 
2229.6 0.4873 -0.0907 
2233.8 0.4875 -0.0881 
2238.0 0.4877 -0.0855 
