 W         M3+(eta_p) 
 (MeV)     Re      Im 
1487.5 0.0000 0.0000 
1493.8 0.0001 0.0000 
1500.1 0.0002 0.0000 
1506.3 0.0004 0.0000 
1512.5 0.0006 0.0000 
1518.7 0.0008 0.0000 
1524.9 0.0010 0.0000 
1531.0 0.0013 0.0000 
1537.1 0.0016 0.0000 
1543.2 0.0019 0.0000 
1549.3 0.0022 0.0000 
1555.3 0.0025 0.0000 
1561.4 0.0028 0.0000 
1567.4 0.0031 0.0000 
1573.3 0.0035 0.0000 
1579.3 0.0038 0.0000 
1585.2 0.0042 0.0000 
1591.1 0.0046 0.0000 
1597.0 0.0050 0.0000 
1602.9 0.0054 0.0000 
1608.7 0.0058 0.0000 
1614.5 0.0062 0.0000 
1620.3 0.0066 0.0000 
1626.1 0.0070 0.0000 
1631.9 0.0074 0.0000 
1637.6 0.0079 0.0000 
1643.3 0.0083 0.0000 
1649.0 0.0087 0.0000 
1654.7 0.0092 0.0000 
1660.4 0.0096 0.0000 
1666.0 0.0101 0.0000 
1671.7 0.0105 0.0000 
1677.3 0.0110 0.0000 
1682.8 0.0115 0.0000 
1688.4 0.0119 0.0000 
1694.0 0.0124 0.0000 
1699.5 0.0129 0.0000 
1705.0 0.0133 0.0000 
1710.5 0.0138 0.0000 
1716.0 0.0143 0.0000 
1721.4 0.0148 0.0000 
1726.9 0.0152 0.0000 
1732.3 0.0157 0.0000 
1737.7 0.0162 0.0000 
1743.1 0.0167 0.0000 
1748.5 0.0172 0.0000 
1753.8 0.0177 0.0000 
1759.2 0.0181 0.0000 
1764.5 0.0186 0.0000 
1769.8 0.0191 0.0000 
1775.1 0.0196 0.0000 
1780.4 0.0201 0.0000 
1785.6 0.0206 0.0000 
1790.9 0.0210 0.0000 
1796.1 0.0215 0.0000 
1801.3 0.0220 0.0000 
1806.5 0.0225 0.0000 
1811.7 0.0230 0.0000 
1816.9 0.0235 0.0000 
1822.0 0.0240 0.0000 
1827.2 0.0244 0.0000 
1832.3 0.0249 0.0000 
1837.4 0.0254 0.0000 
1842.5 0.0259 0.0000 
1847.6 0.0264 0.0000 
1852.7 0.0268 0.0000 
1857.7 0.0273 0.0000 
1862.8 0.0278 0.0000 
1867.8 0.0283 0.0000 
1872.8 0.0287 0.0000 
1877.8 0.0292 0.0000 
1882.8 0.0297 0.0000 
1887.8 0.0301 0.0000 
1892.8 0.0306 0.0000 
1897.7 0.0311 0.0000 
1902.7 0.0315 0.0000 
1907.6 0.0320 0.0000 
1912.5 0.0325 0.0000 
1917.4 0.0329 0.0000 
1922.3 0.0334 0.0000 
1927.2 0.0338 0.0000 
1932.0 0.0343 0.0000 
1936.9 0.0347 0.0000 
1941.7 0.0352 0.0000 
1946.5 0.0356 0.0000 
1951.3 0.0361 0.0000 
1956.1 0.0365 0.0000 
1960.9 0.0370 0.0000 
1965.7 0.0374 0.0000 
1970.5 0.0379 0.0000 
1975.2 0.0383 0.0000 
1980.0 0.0387 0.0000 
1984.7 0.0392 0.0000 
1989.4 0.0396 0.0000 
1994.2 0.0400 0.0000 
1998.9 0.0405 0.0000 
2003.5 0.0409 0.0000 
2008.2 0.0413 0.0000 
2012.9 0.0418 0.0000 
2017.5 0.0422 0.0000 
2022.2 0.0426 0.0000 
2026.8 0.0430 0.0000 
2031.4 0.0434 0.0000 
2036.1 0.0438 0.0000 
2040.7 0.0443 0.0000 
2045.3 0.0447 0.0000 
2049.8 0.0451 0.0000 
2054.4 0.0455 0.0000 
2059.0 0.0459 0.0000 
2063.5 0.0463 0.0000 
2068.1 0.0467 0.0000 
2072.6 0.0471 0.0000 
2077.1 0.0475 0.0000 
2081.6 0.0479 0.0000 
2086.1 0.0483 0.0000 
2090.6 0.0487 0.0000 
2095.1 0.0490 0.0000 
2099.6 0.0494 0.0000 
2104.0 0.0498 0.0000 
2108.5 0.0502 0.0000 
2112.9 0.0506 0.0000 
2117.4 0.0510 0.0000 
2121.8 0.0513 0.0000 
2126.2 0.0517 0.0000 
2130.6 0.0521 0.0000 
2135.0 0.0525 0.0000 
2139.4 0.0528 0.0000 
2143.8 0.0532 0.0000 
2148.2 0.0536 0.0000 
2152.5 0.0539 0.0000 
2156.9 0.0543 0.0000 
2161.2 0.0546 0.0000 
2165.6 0.0550 0.0000 
2169.9 0.0553 0.0000 
2174.2 0.0557 0.0000 
2178.5 0.0560 0.0000 
2182.8 0.0564 0.0000 
2187.1 0.0567 0.0000 
2191.4 0.0571 0.0000 
2195.7 0.0574 0.0000 
2200.0 0.0578 0.0000 
2204.2 0.0581 0.0000 
2208.5 0.0585 0.0000 
2212.7 0.0588 0.0000 
2217.0 0.0591 0.0000 
2221.2 0.0595 0.0000 
2225.4 0.0598 0.0000 
2229.6 0.0601 0.0000 
2233.8 0.0604 0.0000 
2238.0 0.0608 0.0000 
