E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
 60.000     5.283400     0.025000     0.105683
 55.480     5.035800     0.025100     0.100720
 50.700     4.695900     0.025100     0.093903
 45.570     4.356400     0.025400     0.087175
 39.940     3.988900     0.026100     0.079737
 33.560     3.521200     0.027100     0.070469
 25.840     3.043600     0.029300     0.060920
 14.840     2.590600     0.035300     0.051819
-----------------------------------------------------------
E =  239.910 MeV, E_lo =  237.760 MeV, E_hi =  242.070 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     4.453200     0.029200     0.089034
154.160     4.892400     0.029100     0.097865
146.440     5.314600     0.029300     0.106337
140.060     5.706200     0.029800     0.114175
134.430     5.987200     0.029900     0.119723
129.300     6.291800     0.030500     0.125857
124.520     6.580300     0.030900     0.131622
120.000     6.755400     0.030900     0.135112
115.680     6.906900     0.031000     0.138165
111.510     7.065500     0.031000     0.141340
107.460     7.185800     0.031000     0.143694
103.490     7.267000     0.030900     0.145352
 99.590     7.264600     0.030600     0.145313
 95.740     7.376300     0.030800     0.147519
 91.910     7.308800     0.030500     0.146151
 88.090     7.266800     0.030200     0.145295
 84.260     7.137700     0.029800     0.142722
 80.410     7.052100     0.029600     0.141027
 76.510     6.969800     0.029500     0.139413
 72.540     6.770700     0.029100     0.135408
 68.490     6.534800     0.028800     0.130664
 64.320     6.364800     0.028800     0.127282
 60.000     5.994200     0.028400     0.119882
 55.480     5.679100     0.028400     0.113604
 50.700     5.323300     0.028500     0.106451
 45.570     4.988500     0.028900     0.099800
 39.940     4.466900     0.029500     0.089356
 33.560     4.038000     0.030800     0.080724
 25.840     3.404200     0.033300     0.068094
 14.840     2.888200     0.040400     0.057776
-----------------------------------------------------------
E =  244.230 MeV, E_lo =  242.070 MeV, E_hi =  246.390 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     4.912700     0.028600     0.098221
154.160     5.424700     0.028600     0.108494
146.440     5.878500     0.028800     0.117523
140.060     6.320200     0.029400     0.126427
134.430     6.700300     0.029800     0.134027
129.300     7.050700     0.030300     0.140981
124.520     7.320500     0.030700     0.146416
120.000     7.557000     0.030800     0.151093
115.680     7.745100     0.030900     0.154949
111.510     7.932100     0.031100     0.158681
107.460     8.026000     0.031000     0.160534
103.490     8.121100     0.030900     0.162386
 99.590     8.119100     0.030500     0.162360
 95.740     8.251400     0.030700     0.165069
 91.910     8.173200     0.030400     0.163498
 88.090     8.163500     0.030200     0.163230
 84.260     8.053300     0.029700     0.161085
 80.410     7.913100     0.029500     0.158274
 76.510     7.806400     0.029200     0.156092
 72.540     7.617000     0.028900     0.152384
 68.490     7.379400     0.028500     0.147573
 64.320     7.131700     0.028400     0.142599
 60.000     6.789700     0.028000     0.135844
 55.480     6.399800     0.027800     0.128016
 50.700     6.037000     0.027800     0.120741
 45.570     5.615900     0.028000     0.112364
 39.940     5.065100     0.028400     0.101294
 33.560     4.454400     0.029300     0.089106
 25.840     3.929000     0.031900     0.078571
 14.840     3.232000     0.038300     0.064600
-----------------------------------------------------------
E =  248.550 MeV, E_lo =  246.390 MeV, E_hi =  250.710 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     5.376700     0.029200     0.107505
154.160     5.960800     0.029200     0.119175
146.440     6.504000     0.029500     0.130097
140.060     6.941600     0.029900     0.138816
134.430     7.342700     0.030200     0.146826
129.300     7.769100     0.030800     0.155377
124.520     8.058500     0.031100     0.161126
120.000     8.312800     0.031300     0.166280
115.680     8.563200     0.031500     0.171227
111.510     8.730200     0.031600     0.174563
107.460     8.904300     0.031600     0.178119
103.490     9.006500     0.031500     0.180167
 99.590     9.081600     0.031400     0.181605
 95.740     9.132200     0.031300     0.182637
 91.910     9.132100     0.031200     0.182654
 88.090     9.048200     0.030800     0.180998
 84.260     8.872300     0.030300     0.177431
 80.410     8.853100     0.030200     0.177043
 76.510     8.681800     0.029900     0.173645
 72.540     8.470200     0.029600     0.169434
 68.490     8.223100     0.029200     0.164427
 64.320     7.932400     0.028900     0.158690
 60.000     7.591300     0.028600     0.151830
 55.480     7.161100     0.028400     0.143211
 50.700     6.739400     0.028400     0.134739
 45.570     6.227200     0.028500     0.124582
 39.940     5.679600     0.029000     0.113555
 33.560     5.056600     0.030300     0.101160
 25.840     4.437700     0.033200     0.088796
 14.840     3.698800     0.041000     0.074001
-----------------------------------------------------------
E =  252.870 MeV, E_lo =  250.710 MeV, E_hi =  255.030 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     5.817600     0.030300     0.116318
154.160     6.538800     0.030500     0.130791
146.440     7.169600     0.030900     0.143409
140.060     7.658900     0.031300     0.153134
134.430     8.150000     0.031800     0.163028
129.300     8.576000     0.032400     0.171567
124.520     8.952700     0.032800     0.179020
120.000     9.280200     0.033100     0.185571
115.680     9.505600     0.033300     0.190106
111.510     9.793800     0.033600     0.195839
107.460     9.997700     0.033700     0.199980
103.490    10.083900     0.033500     0.201636
 99.590    10.180300     0.033400     0.203578
 95.740    10.218200     0.033300     0.204405
 91.910    10.208700     0.033100     0.204134
 88.090    10.083300     0.032600     0.201682
 84.260     9.971900     0.032200     0.199417
 80.410     9.902000     0.032100     0.198015
 76.510     9.738100     0.031700     0.194737
 72.540     9.514700     0.031400     0.190327
 68.490     9.281500     0.031100     0.185613
 64.320     8.866600     0.030500     0.177296
 60.000     8.532000     0.030200     0.170648
 55.480     8.080800     0.029900     0.161658
 50.700     7.531700     0.029700     0.150599
 45.570     7.013600     0.029900     0.140248
 39.940     6.367600     0.030300     0.127345
 33.560     5.704100     0.031600     0.114105
 25.840     4.981500     0.034400     0.099628
 14.840     4.190400     0.042800     0.083803
-----------------------------------------------------------
E =  257.190 MeV, E_lo =  255.030 MeV, E_hi =  259.350 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     6.378600     0.033800     0.127599
154.160     7.163600     0.034100     0.143299
146.440     7.873900     0.034500     0.157465
140.060     8.463600     0.035100     0.169300
134.430     8.964600     0.035500     0.179320
129.300     9.476900     0.036300     0.189556
124.520     9.906800     0.036700     0.198130
120.000    10.239100     0.037000     0.204784
115.680    10.629000     0.037500     0.212618
111.510    10.905400     0.037800     0.218149
107.460    11.148900     0.037800     0.223019
103.490    11.321400     0.037900     0.226450
 99.590    11.429300     0.037700     0.228612
 95.740    11.479700     0.037600     0.229642
 91.910    11.522900     0.037500     0.230469
 88.090    11.353300     0.036900     0.227021
 84.260    11.197000     0.036400     0.223961
 80.410    11.129000     0.036200     0.222575
 76.510    10.956000     0.035800     0.219094
 72.540    10.694500     0.035400     0.213890
 68.490    10.386600     0.035000     0.207773
 64.320    10.059200     0.034600     0.201146
 60.000     9.573000     0.034000     0.191505
 55.480     9.047000     0.033600     0.180906
 50.700     8.461600     0.033400     0.169236
 45.570     7.841700     0.033400     0.156884
 39.940     7.179700     0.034000     0.143631
 33.560     6.397100     0.035400     0.127891
 25.840     5.562800     0.038700     0.111262
 14.840     4.664100     0.048300     0.093231
-----------------------------------------------------------
E =  261.530 MeV, E_lo =  259.380 MeV, E_hi =  263.680 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     6.956400     0.037300     0.139085
154.160     7.840500     0.037700     0.156832
146.440     8.583700     0.038200     0.171702
140.060     9.371900     0.039400     0.187403
134.430     9.968100     0.040000     0.199326
129.300    10.582700     0.041000     0.211666
124.520    11.097200     0.041600     0.221935
120.000    11.546500     0.042200     0.230977
115.680    11.913300     0.042500     0.238239
111.510    12.242600     0.042900     0.244870
107.460    12.517700     0.043000     0.250334
103.490    12.758400     0.043200     0.255169
 99.590    12.914200     0.043000     0.258245
 95.740    12.982000     0.043000     0.259664
 91.910    12.944200     0.042600     0.258919
 88.090    12.845500     0.042000     0.256889
 84.260    12.729200     0.041600     0.254624
 80.410    12.564100     0.041200     0.251244
 76.510    12.359900     0.040800     0.247155
 72.540    12.138800     0.040400     0.242761
 68.490    11.750800     0.039700     0.234970
 64.320    11.360800     0.039300     0.227226
 60.000    10.835700     0.038500     0.216707
 55.480    10.318200     0.038100     0.206413
 50.700     9.620300     0.037800     0.192422
 45.570     8.907400     0.037600     0.178176
 39.940     8.061000     0.037900     0.161205
 33.560     7.131600     0.039000     0.142665
 25.840     6.185700     0.042100     0.123734
 14.840     4.986700     0.050700     0.099755
-----------------------------------------------------------
E =  265.760 MeV, E_lo =  263.600 MeV, E_hi =  267.930 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     7.510000     0.038000     0.150167
154.160     8.495500     0.038700     0.169949
146.440     9.366500     0.039400     0.187301
140.060    10.238500     0.040700     0.204795
134.430    10.893800     0.041400     0.217902
129.300    11.566500     0.042500     0.231328
124.520    12.111400     0.043200     0.242279
120.000    12.682100     0.044100     0.253594
115.680    13.065600     0.044400     0.261355
111.510    13.537700     0.045200     0.270753
107.460    13.825000     0.045300     0.276514
103.490    14.083500     0.045500     0.281648
 99.590    14.192500     0.045100     0.283839
 95.740    14.296500     0.045100     0.285965
 91.910    14.367600     0.045000     0.287398
 88.090    14.240100     0.044400     0.284759
 84.260    14.006900     0.043700     0.280112
 80.410    13.949200     0.043500     0.279030
 76.510    13.665000     0.042800     0.273269
 72.540    13.432300     0.042400     0.268675
 68.490    13.074100     0.041800     0.261480
 64.320    12.571800     0.041000     0.251480
 60.000    12.047400     0.040300     0.240953
 55.480    11.429800     0.039600     0.228595
 50.700    10.695700     0.039100     0.213957
 45.570     9.935000     0.038800     0.198748
 39.940     8.984600     0.038900     0.179739
 33.560     8.061900     0.040000     0.161212
 25.840     6.976400     0.042900     0.139555
 14.840     5.608600     0.051600     0.112204
-----------------------------------------------------------
E =  270.190 MeV, E_lo =  268.010 MeV, E_hi =  272.380 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     8.103800     0.041300     0.162122
154.160     9.328500     0.042400     0.186542
146.440    10.258700     0.043000     0.205142
140.060    11.202100     0.044400     0.224043
134.430    11.966600     0.045300     0.239351
129.300    12.688900     0.046400     0.253793
124.520    13.436900     0.047600     0.268717
120.000    13.956000     0.048200     0.279170
115.680    14.464200     0.048900     0.289296
111.510    14.961900     0.049600     0.299217
107.460    15.310900     0.049800     0.306176
103.490    15.689500     0.050300     0.313794
 99.590    15.811000     0.049900     0.316187
 95.740    15.940600     0.049900     0.318819
 91.910    15.993700     0.049700     0.319862
 88.090    15.897300     0.049200     0.317915
 84.260    15.724500     0.048600     0.314467
 80.410    15.647900     0.048400     0.312980
 76.510    15.350400     0.047600     0.307032
 72.540    15.009100     0.047000     0.300142
 68.490    14.600100     0.046300     0.291951
 64.320    14.078500     0.045400     0.281563
 60.000    13.500000     0.044600     0.270042
 55.480    12.821500     0.043900     0.256470
 50.700    12.054100     0.043400     0.241125
 45.570    10.994100     0.042400     0.219849
 39.940    10.119900     0.043000     0.202382
 33.560     8.942200     0.043800     0.178814
 25.840     7.735700     0.047000     0.154719
 14.840     6.198500     0.056900     0.123965
-----------------------------------------------------------
E =  274.510 MeV, E_lo =  272.340 MeV, E_hi =  276.680 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     8.671500     0.041800     0.173434
154.160    10.069500     0.043300     0.201398
146.440    11.160100     0.044400     0.223227
140.060    12.172400     0.045700     0.243448
134.430    13.086400     0.047000     0.261713
129.300    13.923500     0.048300     0.278442
124.520    14.666800     0.049300     0.293285
120.000    15.339800     0.050200     0.306820
115.680    15.975400     0.051200     0.319524
111.510    16.388700     0.051700     0.327747
107.460    16.877200     0.052300     0.337573
103.490    17.335800     0.052900     0.346687
 99.590    17.453700     0.052600     0.349059
 95.740    17.625200     0.052500     0.352512
 91.910    17.680800     0.052400     0.353639
 88.090    17.624600     0.051800     0.352514
 84.260    17.522700     0.051500     0.350436
 80.410    17.306500     0.050900     0.346178
 76.510    17.065200     0.050300     0.341314
 72.540    16.659500     0.049400     0.333157
 68.490    16.325300     0.049000     0.326544
 64.320    15.683700     0.047800     0.313679
 60.000    14.994900     0.046700     0.299886
 55.480    14.205000     0.045800     0.284132
 50.700    13.358500     0.045100     0.267119
 45.570    12.274500     0.044100     0.245470
 39.940    11.103700     0.044000     0.222083
 33.560     9.899700     0.044900     0.197972
 25.840     8.589400     0.047900     0.171745
 14.840     6.950400     0.057700     0.139000
-----------------------------------------------------------
E =  278.850 MeV, E_lo =  276.680 MeV, E_hi =  281.020 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     9.261400     0.048000     0.185180
154.160    10.668300     0.049000     0.213345
146.440    11.971000     0.050400     0.239453
140.060    13.162800     0.052200     0.263275
134.430    14.090900     0.053200     0.281823
129.300    15.096100     0.054900     0.301950
124.520    15.969600     0.056100     0.319411
120.000    16.713000     0.057100     0.334258
115.680    17.389700     0.058100     0.347780
111.510    17.987000     0.059100     0.359778
107.460    18.447700     0.059500     0.368933
103.490    18.953200     0.060200     0.379049
 99.590    19.204700     0.060000     0.384142
 95.740    19.319000     0.059900     0.386385
 91.910    19.401800     0.059700     0.388034
